,Topic,Keywords,Docs,Children,Parent,Level
15,"(15,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
16,"(16,)","([('snow', 0.021870644763112068), ('model', 0.02162955515086651), ('surface', 0.02128514088690281), ('using', 0.017358819022774696), ('cover', 0.01594671979546547), ('water', 0.013398055918514729), ('measurement', 0.01212372351437807), ('vegetation', 0.011538219638168812), ('soil', 0.011469336226582527), ('resolution', 0.011469336226582527)],)","(3017,)","([26, 24],)","(8,)","(2,)"
17,"(17,)","([('water', 0.046212442219257355), ('carbon', 0.02839253842830658), ('ocean', 0.02824152261018753), ('phytoplankton', 0.01525413803756237), ('surface', 0.014499057084321976), ('production', 0.013592960312962532), ('process', 0.012837880291044712), ('global', 0.012686863541603088), ('change', 0.01253584772348404), ('concentration', 0.01238483190536499)],)","(721,)","([25],)","(9,)","(2,)"
18,"(18,)","([('stand', 0.007966967299580574), ('bcdf', 0.007966967299580574), ('restoration', 0.005320134572684765), ('interpretation', 0.005320134572684765), ('resilience', 0.005320134572684765), ('seedling', 0.005320134572684765), ('implicated', 0.0026733013801276684), ('bigcone', 0.0026733013801276684), ('zaca', 0.0026733013801276684), ('douglas-fir', 0.0026733013801276684)],)","(9,)","([27],)","(10,)","(2,)"
19,"(19,)","([('sclerite', 0.035427842289209366), ('cambrothyra', 0.01418176107108593), ('chancelloriids', 0.012411253526806831), ('chancelloriid', 0.010640746913850307), ('cambrian', 0.010640746913850307), ('china', 0.008870240300893784), ('form', 0.007099733222275972), ('specie', 0.007099733222275972), ('formation', 0.007099733222275972), ('province', 0.007099733222275972)],)","(4,)","([188],)","(11,)","(2,)"
20,"(20,)","([('para', 0.04262496531009674), ('del', 0.03197168558835983), ('que', 0.03197168558835983), ('los', 0.030787987634539604), ('con', 0.016583610326051712), ('una', 0.011848818510770798), ('por', 0.01066512055695057), ('este', 0.00948142260313034), ('reas', 0.00948142260313034), ('rea', 0.008297723717987537)],)","(7,)","([185, 28],)","(12,)","(2,)"
21,"(21,)","([('eco-evolutionary', 0.01932140812277794), ('genomic', 0.013808881863951683), ('dynamic', 0.0055400896817445755), ('deepen', 0.002783826319500804), ('interplay', 0.002783826319500804), ('timescale', 0.002783826319500804), ('phenotypic', 0.002783826319500804), ('rate', 2.7562635295907967e-05), ('system', 2.7562635295907967e-05), ('surface', 2.7562635295907967e-05)],)","(3,)","([30],)","(11,)","(2,)"
22,"(22,)","([('forest', 0.007585494313389063), ('rzea', 0.007585494313389063), ('tree', 0.005065396428108215), ('floodplain', 0.005065396428108215), ('flooding', 0.005065396428108215), ('que', 0.005065396428108215), ('diversity', 0.005065396428108215), ('fisher', 0.005065396428108215), ('continuum', 0.005065396428108215), ('inunda', 0.005065396428108215)],)","(4,)","([31],)","(8,)","(2,)"
23,"(23,)","([('rotation', 0.02177327871322632), ('hill', 0.012107006274163723), ('miocene', 0.012107006274163723), ('block', 0.012107006274163723), ('bodie', 0.012107006274163723), ('since', 0.007273869588971138), ('nevada', 0.007273869588971138), ('lane', 0.007273869588971138), ('sierra', 0.004857301712036133), ('vertical-axis', 0.004857301712036133)],)","(1,)","([29],)","(8,)","(2,)"
24,"(24,)","([('change', 0.027880847454071045), ('climate', 0.022753898054361343), ('specie', 0.01816907338798046), ('ecosystem', 0.01355326920747757), ('water', 0.009386654943227768), ('effect', 0.008008109405636787), ('variability', 0.007992619648575783), ('pattern', 0.00782223790884018), ('response', 0.007326581049710512), ('year', 0.006939349230378866)],)","(3013,)","([122, 304, 1121, 1120, 310, 123, 712, 216, 305, 308, 126, 222, 221, 39, 38, 37, 34, 32],)","(16,)","(3,)"
