,Topic,Keywords,Docs,Children,Parent,Level
0,"(0,)","([('model', 0.009485041722655296), ('may', 0.007445184513926506), ('using', 0.00741572817787528), ('two', 0.0071137999184429646), ('analysis', 0.0060533685609698296), ('effect', 0.005780896637588739), ('also', 0.005670435260981321), ('time', 0.005523153115063906), ('however', 0.005390599370002747), ('within', 0.00537587096914649)],)","(3770,)","([156, 155, 159, 158, 320, 154, 153, 15, 14, 13, 12, 11, 10, 9, 8],)","(-1,)","(0,)"
1,"(1,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
2,"(2,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
3,"(3,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
4,"(4,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
5,"(5,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
6,"(6,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
7,"(7,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
8,"(8,)","([('water', 0.018161799758672714), ('basin', 0.014459378086030483), ('river', 0.014306023716926575), ('sediment', 0.012159057892858982), ('rate', 0.010997943580150604), ('change', 0.0099463677033782), ('lake', 0.009880644269287586), ('along', 0.009858736768364906), ('channel', 0.008412821218371391), ('flow', 0.008347097784280777)],)","(3607,)","([209, 213, 471, 215, 212, 350, 130, 79, 77, 74, 23, 16],)","(0,)","(1,)"
9,"(9,)","([('method', 0.020539794117212296), ('surface', 0.017520125955343246), ('product', 0.017520125955343246), ('water', 0.016916191205382347), ('climate', 0.016312258318066597), ('precipitation', 0.013896521180868149), ('approach', 0.012084719724953175), ('modis', 0.012084719724953175), ('algorithm', 0.01087685115635395), ('retrieval', 0.010272917337715626)],)","(61,)","([134, 211, 18, 17],)","(0,)","(1,)"
10,"(10,)","([('specie', 0.06032020226120949), ('new', 0.04894118010997772), ('group', 0.027321036905050278), ('formation', 0.019355719909071922), ('fossil', 0.013666207902133465), ('described', 0.012528305873274803), ('known', 0.012528305873274803), ('member', 0.011390402913093567), ('specimen', 0.010252500884234905), ('organic-walled', 0.006838793866336346)],)","(22,)","([73, 19],)","(0,)","(1,)"
11,"(11,)","([('que', 0.019493281841278076), ('forest', 0.010640746913850307), ('como', 0.010640746913850307), ('rainforest', 0.008870240300893784), ('temperate', 0.007099733222275972), ('biome', 0.005329225677996874), ('rzea', 0.005329225677996874), ('continuum', 0.005329225677996874), ('northern', 0.005329225677996874), ('este', 0.005329225677996874)],)","(11,)","([21, 20],)","(0,)","(1,)"
12,"(12,)","([('land', 0.03069981001317501), ('para', 0.020470328629016876), ('private', 0.018197111785411835), ('public', 0.017060501500964165), ('los', 0.015923893079161644), ('del', 0.015923893079161644), ('habitat', 0.015923893079161644), ('bitat', 0.012514065951108932), ('terreno', 0.011377456597983837), ('que', 0.011377456597983837)],)","(16,)","([346, 76, 22],)","(0,)","(1,)"
13,"(13,)","([('clotting', 0.030770067125558853), ('polyp', 0.027152186259627342), ('snp', 0.01810748688876629), ('polyphosphate', 0.010871728882193565), ('short-chain', 0.010871728882193565), ('blood', 0.010871728882193565), ('silica', 0.00906278844922781), ('plasma', 0.00906278844922781), ('pathway', 0.007253848947584629), ('flowing', 0.007253848947584629)],)","(5,)","([345, 347],)","(0,)","(1,)"
14,"(14,)","([('≤', 0.017887050285935402), ('est', 0.013420871458947659), ('amrf', 0.011187780648469925), ('scaling', 0.011187780648469925), ('station', 0.008954690769314766), ('spectrum', 0.006721600890159607), ('stress', 0.006721600890159607), ('moment', 0.006721600890159607), ('ground', 0.006721600890159607), ('drop', 0.006721600890159607)],)","(9,)","([344, 135, 128],)","(0,)","(1,)"
