,Topic,Keywords,Docs,Children,Parent,Level
0,"(0,)","([('model', 0.008632686920464039), ('using', 0.0059226276353001595), ('two', 0.005703471135348082), ('process', 0.005398789886385202), ('may', 0.005372063722461462), ('system', 0.00535068241879344), ('rate', 0.00518497871235013), ('analysis', 0.0051368712447583675), ('within', 0.004821499343961477), ('time', 0.004789427388459444)],)","(3770,)","([67, 199, 65, 195, 196, 153, 322, 71, 124, 93, 94, 264, 326, 324, 271, 321, 266, 323, 376, 327, 270, 269, 253, 157, 320, 254, 268, 252, 267, 249, 265, 251, 255, 250, 248, 193, 198, 197, 127, 91, 158, 194, 192, 155, 159, 156, 154, 152, 126, 125, 123, 122, 121, 120, 95, 92, 90, 89, 88, 70, 69, 68, 66, 64, 47, 46, 45, 44, 43, 42, 41, 40, 15, 14, 13, 12, 11, 10, 9, 8],)","(-1,)","(0,)"
1,"(1,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
2,"(2,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
3,"(3,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
4,"(4,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
5,"(5,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
6,"(6,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
7,"(7,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
8,"(8,)","([('water', 0.020276201888918877), ('model', 0.012700753286480904), ('climate', 0.0103895990177989), ('change', 0.010036506690084934), ('soil', 0.009127024561166763), ('carbon', 0.008217542432248592), ('ocean', 0.007051266264170408), ('snow', 0.0069870674051344395), ('measurement', 0.006355780176818371), ('surface', 0.005970587953925133)],)","(3052,)","([338, 281, 413, 291, 104, 401, 309, 243, 343, 332, 386, 372, 312, 407, 395, 390, 394, 284, 359, 355, 313, 353, 304, 408, 397, 374, 260, 165, 392, 342, 170, 344, 246, 214, 389, 140, 349, 340, 187, 98, 352, 285, 356, 258, 161, 337, 305, 316, 366, 160, 330, 172, 371, 370, 360, 348, 363, 350, 295, 149, 204, 346, 280, 334, 178, 345, 335, 333, 129, 59, 216, 179, 331, 310, 211, 287, 206, 261, 223, 315, 302, 311, 307, 175, 103, 164, 300, 144, 259, 231, 263, 275, 25, 108, 296, 301, 292, 240, 299, 290, 288, 180, 233, 119, 74, 241, 276, 229, 174, 218, 279, 220, 219, 278, 272, 257, 247, 235, 182, 230, 256, 130, 244, 209, 239, 232, 217, 228, 213, 169, 225, 224, 190, 221, 150, 215, 191, 208, 207, 184, 145, 138, 205, 202, 201, 200, 38, 189, 186, 181, 177, 176, 173, 168, 167, 166, 162, 151, 148, 83, 146, 143, 136, 135, 134, 132, 131, 128, 117, 115, 113, 112, 111, 109, 107, 106, 105, 85, 72, 63, 57, 56, 48, 35, 32, 30, 29, 28, 27, 20, 19, 18, 16],)","(0,)","(1,)"
9,"(9,)","([('flow', 0.029575886204838753), ('sierra', 0.02711225487291813), ('nevada', 0.02218499407172203), ('lava', 0.01602591760456562), ('tml', 0.014794101938605309), ('stanislaus', 0.013562287203967571), ('group', 0.011098656803369522), ('thick', 0.011098656803369522), ('k2o', 0.00986684113740921), ('volcanism', 0.008635025471448898)],)","(16,)","([77, 52, 39],)","(0,)","(1,)"
10,"(10,)","([('shell', 0.03642425313591957), ('mollusc', 0.018217816948890686), ('microstructure', 0.013666207902133465), ('microstructures', 0.012528305873274803), ('cambrian', 0.012528305873274803), ('specie', 0.012528305873274803), ('new', 0.010252500884234905), ('many', 0.009114598855376244), ('middle', 0.007976695895195007), ('fossil', 0.007976695895195007)],)","(24,)","([86, 24, 21],)","(0,)","(1,)"
11,"(11,)","([('relation', 0.01478378102183342), ('biomass', 0.012938115745782852), ('surface', 0.01109244953840971), ('biomasse', 0.01109244953840971), ('trie', 0.009246784262359142), ('allometric', 0.009246784262359142), ('dallom', 0.009246784262359142), ('basal', 0.007401118986308575), ('savannah', 0.007401118986308575), ('tale', 0.007401118986308575)],)","(2,)","([22],)","(0,)","(1,)"
12,"(12,)","([('plant', 0.06152602285146713), ('soil', 0.02237633429467678), ('leaf', 0.020851021632552147), ('soybean', 0.016275083646178246), ('root', 0.014241334982216358), ('nanoparticles', 0.013224459253251553), ('stress', 0.01119070965796709), ('concentration', 0.009665396995842457), ('showed', 0.009665396995842457), ('crop', 0.009156959131360054)],)","(27,)","([283, 23],)","(0,)","(1,)"
13,"(13,)","([('10be', 0.03255471959710121), ('meteoric', 0.025480682030320168), ('site', 0.02406587451696396), ('rate', 0.019821451976895332), ('age', 0.018406644463539124), ('incision', 0.018406644463539124), ('deposition', 0.016991836950182915), ('inventory', 0.014162221923470497), ('gully', 0.011332607828080654), ('erosion', 0.009917800314724445)],)","(7,)","([55],)","(0,)","(1,)"
14,"(14,)","([('metal', 0.016222108155488968), ('oxide', 0.014870640821754932), ('structure', 0.01396966353058815), ('synthesis', 0.01261819712817669), ('mesoporous', 0.011717218905687332), ('catalyst', 0.010365751571953297), ('film', 0.008563796058297157), ('using', 0.008563796058297157), ('hydrogen', 0.008113306947052479), ('reaction', 0.008113306947052479)],)","(57,)","([402, 387, 245, 26],)","(0,)","(1,)"
15,"(15,)","([('transnational', 0.011339716613292694), ('international', 0.009076300077140331), ('held', 0.0068128835409879684), ('2008', 0.0068128835409879684), ('award', 0.0068128835409879684), ('collaboration', 0.0068128835409879684), ('young', 0.004549467004835606), ('investigator', 0.004549467004835606), ('science', 0.004549467004835606), ('whale', 0.004549467004835606)],)","(9,)","([96, 286, 31],)","(0,)","(1,)"
16,"(16,)","([('specie', 0.012494872324168682), ('change', 0.011456847190856934), ('climate', 0.009457687847316265), ('management', 0.008534999564290047), ('ecosystem', 0.00836840271949768), ('impact', 0.0065742856822907925), ('land', 0.005651596933603287), ('area', 0.0054209246300160885), ('habitat', 0.0051902527920901775), ('environmental', 0.005113361869007349)],)","(1324,)","([],)","(8,)","(2,)"
