Topic,Keywords,Num_Docs,Children,Parent,Level
16,"['model', 0.03225099295377731), 'using', 0.015058079734444618), 'method', 0.010038767009973526), 'analysis', 0.009190432727336884), 'spatial', 0.009119737893342972), 'used', 0.009119737893342972), 'approach', 0.00827140361070633), 'scale', 0.006390928756445646), 'estimate', 0.006390928756445646), 'ocean', 0.00630609504878521)]",3302,"[475, 393, 549, 233, 82, 420, 241, 479, 170, 327, 62, 28, 513, 516, 461, 505, 448, 464, 383, 524, 80, 144, 472, 544, 155, 490, 542, 509, 535, 205, 426, 493, 520, 527, 439, 539, 153, 536, 404, 531, 489, 474, 522, 433, 432, 312, 425, 222, 469, 463, 414, 361, 518, 388, 322, 447, 211, 511, 494, 488, 267, 519, 514, 378, 365, 502, 498, 458, 495, 419, 473, 169, 491, 477, 471, 503, 338, 466, 157, 496, 465, 363, 467, 454, 341, 456, 455, 449, 446, 435, 152, 468, 382, 407, 366, 462, 200, 451, 431, 450, 384, 444, 441, 437, 453, 452, 410, 37, 442, 344, 438, 409, 364, 98, 362, 436, 434, 154, 397, 309, 402, 430, 429, 428, 427, 424, 223, 112, 422, 421, 418, 413, 416, 415, 379, 408, 271, 411, 398, 387, 395, 291, 406, 405, 403, 390, 325, 401, 399, 380, 389, 386, 396, 315, 232, 391, 319, 295, 385, 367, 349, 289, 67, 231, 323, 182, 381, 244, 318, 377, 347, 239, 116, 268, 324, 311, 314, 213, 150, 351, 348, 346, 345, 343, 279, 339, 310, 269, 302, 321, 320, 234, 274, 316, 177, 313, 278, 179, 308, 305, 293, 303, 275, 202, 273, 301, 299, 296, 246, 294, 243, 288, 277, 276, 270, 220, 201, 215, 266, 265, 264, 247, 245, 130, 58, 240, 238, 236, 235, 197, 81, 229, 183, 228, 225, 181, 224, 52, 219, 218, 217, 216, 158, 214, 212, 210, 209, 207, 206, 204, 203, 61, 199, 198, 195, 194, 193, 49, 192, 180, 178, 176, 175, 174, 173, 172, 171, 159, 156, 151, 146, 145, 135, 131, 113, 103, 97, 87, 85, 71, 69, 65, 59, 57, 56, 55, 53, 39, 38, 33, 30, 25, 24]",8,2
17,"['egp', 0.017710518091917038), 'granulite', 0.007604658603668213), 'granulites', 0.007604658603668213), 'koraput', 0.007604658603668213), 'columbia', 0.007604658603668213), '700', 0.005078194197267294), 'indian', 0.005078194197267294), 'india', 0.005078194197267294), 'titanite', 0.005078194197267294), 'overgrowth', 0.005078194197267294)]",1,[86],10,2
18,"['domoic', 0.017937147989869118), 'subsurface', 0.016307977959513664), 'acid', 0.016307977959513664), 'particle', 0.01467880979180336), 'water', 0.013049641624093056), 'carbon', 0.013049641624093056), 'flux', 0.013049641624093056), 'respiration', 0.011420472525060177), 'ocean', 0.009791304357349873), 'oxygen', 0.009791304357349873)]",8,[459],8,2
19,"['ridge', 0.02772197686135769), 'date', 0.024951165542006493), 'crust', 0.02079494670033455), 'hole', 0.018024133518338203), 'dating', 0.012482509948313236), 'mid-ocean', 0.011097103357315063), 'gabbroic', 0.011097103357315063), '735b', 0.011097103357315063), '238u', 0.011097103357315063), 'magmatism', 0.011097103357315063)]",9,[29],10,2
20,"['specie', 0.02879287861287594), 'fossil', 0.026736978441476822), 'formation', 0.025709029287099838), 'cambrian', 0.02056927978992462), 'new', 0.018513379618525505), 'described', 0.01645747944712639), 'group', 0.01542952936142683), 'assemblage', 0.014401579275727272), 'member', 0.009261829778552055), 'many', 0.009261829778552055)]",18,"[546, 242, 499, 34, 31]",11,2
21,"['pour', 0.024555973708629608), 'dans', 0.018893565982580185), 'sur', 0.013231159187853336), 'sont', 0.011343689635396004), 'allometric', 0.009456221014261246), 'plus', 0.007568751461803913), 'gsp-1', 0.007568751461803913), 'terri', 0.007568751461803913), 'plant', 0.007568751461803913), 'est', 0.0056812819093465805)]",5,"[227, 27, 32]",11,2
22,"['proton', 0.021593378856778145), 'energy', 0.01542824599891901), 'anaerobic', 0.012345679104328156), 'membrane', 0.012345679104328156), 'genome', 0.012345679104328156), 'methanogen', 0.012345679104328156), 'metabolism', 0.010804396122694016), 'greigite', 0.009263113141059875), 'consortium', 0.007721829693764448), 'stable', 0.006180546246469021)]",13,"[394, 50, 35]",8,2
23,"['urban', 0.018661586567759514), 'urbana', 0.014519169926643372), 'cobertura', 0.0124479616060853), 'nia', 0.01037675328552723), 'terra', 0.01037675328552723), 'araguaia', 0.006234336644411087), 'land-cover', 0.006234336644411087), 'rzea', 0.006234336644411087), 'rond', 0.006234336644411087), 'flooding', 0.004163128323853016)]",4,[54],12,2
24,"['water', 0.024067863821983337), 'snow', 0.01918175257742405), 'soil', 0.013765150681138039), 'forest', 0.0116431824862957), 'climate', 0.010275071486830711), 'vegetation', 0.009549135342240334), 'cover', 0.008767358027398586), 'precipitation', 0.008571913465857506), 'flux', 0.008013500832021236), 'lake', 0.007845977321267128)]",525,[],16,3
25,"['fault', 0.03317952901124954), 'earthquake', 0.022648118436336517), 'motion', 0.013328288681805134), 'rupture', 0.012303106486797333), 'ground', 0.010625538416206837), 'borehole', 0.010159546509385109), 'seismic', 0.00885477103292942), 'scec', 0.008388779126107693), 'velocity', 0.00782958883792162), 'slip', 0.007456796243786812)]",119,[],16,3
