Topic,Keywords,Num_Docs,Children,Parent,Level
141,"['≤', 0.01821240969002247), 'amrf', 0.011391283012926579), 'scaling', 0.011391283012926579), 'moment', 0.011391283012926579), 'earthquake', 0.00911757443100214), 'stress', 0.00911757443100214), 'afterslip', 0.00911757443100214), 'ground', 0.00684386445209384), 'spectrum', 0.00684386445209384), 'drop', 0.00684386445209384)]",7,[126],0,1
142,"['carbon', 0.0183574091643095), 'nitride', 0.012245064601302147), 'ncmss', 0.008170167915523052), 'agpd', 0.008170167915523052), 'sphere', 0.008170167915523052), 'hydrogen', 0.008170167915523052), 'detection', 0.008170167915523052), 'facile', 0.006132719572633505), 'acid', 0.006132719572633505), 'visible', 0.006132719572633505)]",5,"[354, 282]",0,1
143,"['wind', 0.04205460101366043), 'speed', 0.01893613114953041), 'hy-2a', 0.016834450885653496), 'scatterometer', 0.01263109315186739), 'retrieval', 0.01052941381931305), 'effect', 0.008427734486758709), 'buoy', 0.008427734486758709), 'rain', 0.008427734486758709), 'direction', 0.008427734486758709), 'era-interim', 0.006326054688543081)]",1,[111],0,1
144,"['salinity', 0.0416254922747612), 'carbonate', 0.03469080105423927), '18osw', 0.02082141488790512), 'relationship', 0.017354069277644157), 'seawater', 0.017354069277644157), '18o', 0.015620395541191101), 'sensitivity', 0.012153048999607563), 'skeleton', 0.012153048999607563), 'alkalinity', 0.008685702458024025), 'coral', 0.008685702458024025)]",4,[],16,3
145,"['bay', 0.04322236403822899), 'sea-level', 0.0247014332562685), 'gulf', 0.021271632984280586), 'mexico', 0.01989971101284027), 'change', 0.01715587079524994), 'texas', 0.015783948823809624), 'rise', 0.01509798876941204), 'level', 0.01509798876941204), 'climate', 0.01509798876941204), 'sea', 0.0137260677292943)]",15,[],16,3
146,"['glacial', 0.037081584334373474), 'age', 0.022252246737480164), 'ice', 0.022252246737480164), 'valley', 0.01895683817565441), 'exposure', 0.01730913296341896), 'moraine', 0.01566142961382866), 'cosmogenic', 0.014837577007710934), '10be', 0.014013725332915783), 'past', 0.014013725332915783), 'boulder', 0.014013725332915783)]",13,[],16,3
147,"['solar', 0.00803073588758707), 'provide', 0.005362716969102621), 'schottky', 0.005362716969102621), 'spacious', 0.0026946987491101027), '4macm2', 0.0026946987491101027), 'iqe', 0.0026946987491101027), 'absorptance', 0.0026946987491101027), 'photocurrents', 0.0026946987491101027), 'inorganic-organic', 0.0026946987491101027), 'short-circuit', 0.0026946987491101027)]",7,[],167,3
148,"['sheet', 0.00813931506127119), 'gravel', 0.00813931506127119), 'cordilleran', 0.005435223691165447), 'klondike', 0.00273113208822906), 'pre-dates', 0.00273113208822906), 'glaciofluvial', 0.00273113208822906), 'gauss', 0.00273113208822906), '64+0', 0.00273113208822906), 'placer', 0.00273113208822906), 'ice-rafted', 0.00273113208822906)]",3,[],281,3
149,"['sierra', 0.024857783690094948), 'silicic', 0.023082861676812172), 'area', 0.017758095636963844), 'formation', 0.017758095636963844), 'ignimbrite', 0.015095711685717106), 'guazapares', 0.014208250679075718), 'fault', 0.014208250679075718), 'basin', 0.014208250679075718), 'extension', 0.01332078967243433), 'occidental', 0.012433328665792942)]",7,[],125,3
150,"['difference', 0.029774459078907967), 'immune', 0.027186501771211624), 'niche', 0.02201058529317379), 'fitness', 0.02201058529317379), 'disease', 0.016834668815135956), 'coexistence', 0.01554068922996521), 'pathogen', 0.012952730990946293), 'diet', 0.011658752337098122), 'system', 0.010364772751927376), 'relative', 0.010364772751927376)]",10,[],16,3
151,"['atmospheric', 0.032351695001125336), 'vapor', 0.02488783374428749), 'radiance', 0.024058515205979347), 'water', 0.02239987999200821), 'correction', 0.019082607701420784), 'deltab', 0.01825328916311264), 'retrieval', 0.01576533541083336), 'surface', 0.013277381658554077), 'warming', 0.013277381658554077), 'varepsilonb', 0.011618745513260365)]",9,[],16,3
152,"['streamflow', 0.03430459275841713), 'hydrologic', 0.024016644805669785), 'vegetation', 0.022873539477586746), 'watershed', 0.02173043228685856), 'climate', 0.02173043228685856), 'soil', 0.02173043228685856), 'water', 0.017158010974526405), 'moisture', 0.016014905646443367), 'cascade', 0.016014905646443367), 'river', 0.013728695921599865)]",9,[],16,3
153,"['drifter', 0.035580385476350784), 'deployment', 0.022243298590183258), 'radar', 0.022243298590183258), 'float', 0.017797602340579033), 'instrument', 0.013351907022297382), 'depth', 0.011870007961988449), 'location', 0.011870007961988449), 'trajectory', 0.01038810983300209), 'configuration', 0.008906210772693157), 'sampling', 0.008906210772693157)]",4,[],16,3
154,"['citation', 0.035733021795749664), 'database', 0.01452316902577877), 'graph', 0.013406861573457718), 'must', 0.013406861573457718), 'structure', 0.01229055318981409), 'place', 0.011174244806170464), 'similarity', 0.010057936422526836), 'case', 0.008941628970205784), 'publishing', 0.008941628970205784), 'cited', 0.008941628970205784)]",7,[],16,3
155,"['debris', 0.020548328757286072), 'flow', 0.0112166628241539), 'technology', 0.0074839964509010315), 'microplastic', 0.0074839964509010315), 'expedition', 0.0074839964509010315), 'plastic', 0.0074839964509010315), 'conference', 0.00561766279861331), 'interview', 0.00561766279861331), 'montecito', 0.00561766279861331), 'telepresence', 0.00561766279861331)]",5,[],16,3
156,"['basin', 0.07205496728420258), 'deformation', 0.03880522772669792), 'amazon', 0.023565758019685745), 'fault', 0.018024133518338203), 'naryn', 0.015253322198987007), 'interior', 0.012482509948313236), 'tien', 0.011097103357315063), 'aquatic', 0.011097103357315063), 'river', 0.009711697697639465), 'margin', 0.009711697697639465)]",7,[],16,3
157,"['soil', 0.0437898226082325), 'scale', 0.02109239436686039), 'crack', 0.02109239436686039), 'leakage', 0.016228660941123962), 'ratio', 0.012986171059310436), 'process', 0.01136492658406496), 'spatial', 0.01136492658406496), 'faunal', 0.00974368117749691), 'karst', 0.00974368117749691), 'abiotic', 0.00974368117749691)]",5,[],16,3
158,"['resource', 0.026040565222501755), 'natural', 0.024414047598838806), 'park', 0.02116100862622261), 'condition', 0.017907971516251564), 'national', 0.017907971516251564), 'assessment', 0.013028415851294994), 'pollutant', 0.009775377810001373), 'santa', 0.00814885925501585), 'guidance', 0.00814885925501585), 'document', 0.006522340700030327)]",5,[],16,3
159,"['seismic', 0.04112739488482475), 'volcano', 0.03067304752767086), 'infrasound', 0.026491310447454453), 'eruption', 0.02091566100716591), 'hurricane', 0.02091566100716591), 'pressure', 0.018127834424376488), 'explosive', 0.014643053524196148), 'wave', 0.014643053524196148), 'acoustic', 0.014643053524196148), 'volcanic', 0.013249140232801437)]",14,[],16,3
160,"['840-720', 0.002920679049566388), 'change', 2.89176132355351e-05), 'water', 2.89176132355351e-05), 'specie', 2.89176132355351e-05), 'climate', 2.89176132355351e-05), 'using', 2.89176132355351e-05), 'soil', 2.89176132355351e-05), 'rate', 2.89176132355351e-05), 'system', 2.89176132355351e-05), 'surface', 2.89176132355351e-05)]",1,[36],14,2
161,"['granitoids', 0.02028334140777588), 'zircon', 0.012914279475808144), 'karbi', 0.011072014458477497), 'craton', 0.011072014458477497), 'magmatism', 0.011072014458477497), 'early', 0.00922974944114685), 'enriched', 0.007387483958154917), 'dry', 0.007387483958154917), 'mafic', 0.007387483958154917), 'ϵhf', 0.007387483958154917)]",9,[226],8,2
162,"['mmhg', 0.02203957922756672), '202', 0.014701206237077713), 'thg', 0.009808958508074284), 'creek', 0.007362833712249994), 'bypass', 0.007362833712249994), 'wetland', 0.007362833712249994), 'yolo', 0.007362833712249994), 'cache', 0.007362833712249994), 'isotope', 0.004916709382086992), 'mdf', 0.004916709382086992)]",1,[304],8,2
163,"['soil', 0.07410482317209244), 'emission', 0.04727839305996895), 'effect', 0.02045196108520031), 'rootderived', 0.016619613394141197), 'bacterial', 0.015342164784669876), 'oxide', 0.014064716175198555), 'community', 0.014064716175198555), 'rotation', 0.01278726663440466), 'source', 0.011509817093610764), 'nano-zno', 0.010232368484139442)]",8,"[545, 129, 168]",8,2
164,"['disproportionality', 0.018464304506778717), 'industry', 0.011548835784196854), 'workshop', 0.0092436783015728), 'naics', 0.006938521284610033), 'wildfire-related', 0.006938521284610033), 'egregious', 0.006938521284610033), 'fee', 0.006938521284610033), 'lab', 0.006938521284610033), 'analyzing', 0.004633364733308554), 'grant', 0.004633364733308554)]",3,[336],8,2
165,"['2009', 0.011187780648469925), 'published', 0.008954690769314766), 'doi', 0.008954690769314766), 'article', 0.008954690769314766), 'version', 0.008954690769314766), 'online', 0.008954690769314766), 'corrected', 0.006721600890159607), '2016', 0.004488510545343161), 'iodp', 0.004488510545343161), 'originally', 0.004488510545343161)]",7,"[470, 501]",8,2
166,"['exhumation', 0.017755376175045967), 'muscovite', 0.012689649127423763), '40ar', 0.00762392021715641), '39ar', 0.00762392021715641), 'terrane', 0.00762392021715641), 'crust', 0.005091056693345308), 'continued', 0.005091056693345308), 'nordfjord', 0.005091056693345308), 'k-feldspar', 0.005091056693345308), 'spectrum', 0.005091056693345308)]",1,[443],10,2
167,"['lattice', 0.023021550849080086), 'foam', 0.023021550849080086), 'composite', 0.013822129927575588), 'strength', 0.01152227446436882), 'structure', 0.006922564003616571), 'stochastic', 0.006922564003616571), 'alone', 0.006922564003616571), 'concept', 0.004622709006071091), 'stabilization', 0.004622709006071091), 'strut', 0.004622709006071091)]",7,[147],138,2
168,"['n2o', 0.05342946946620941), 'moisture', 0.02261662669479847), 'nitrous', 0.02261662669479847), 'root-derived', 0.020562438294291496), 'oxide', 0.012345679104328156), 'drained', 0.010291489772498608), 'tradeoff', 0.00823730044066906), 'wet', 0.0061831106431782246), 'atmosphere', 0.0061831106431782246), 'wfps', 0.0061831106431782246)]",3,[],163,3
169,"['break', 0.023585613816976547), 'phylogeographical', 0.015016816556453705), 'dispersers', 0.012874617241322994), 'near', 0.010732418857514858), 'history', 0.010732418857514858), 'cape', 0.010732418857514858), 'planktonic', 0.010732418857514858), 'dispersal', 0.008590219542384148), 'restricted', 0.008590219542384148), 'coast', 0.008590219542384148)]",3,[],16,3
170,"['cloud', 0.017534643411636353), 'scheme', 0.013156455010175705), 'subgrid-scale', 0.013156455010175705), 'wind', 0.010967360809445381), 'convection', 0.010967360809445381), 'precipitation', 0.008778267540037632), 'pbl', 0.008778267540037632), 'sundowner', 0.006589172873646021), 'windstorm', 0.006589172873646021), 'surface', 0.006589172873646021)]",2,[],16,3
171,"['ocean', 0.017053503543138504), 'cryogenian', 0.01598832570016384), 'carbonate', 0.014923147857189178), 'earth', 0.013857969082891941), 'glaciation', 0.012792791239917278), 'oxygenation', 0.011727612465620041), 'oxygen', 0.010662434622645378), 'snowball', 0.010662434622645378), 'cap', 0.010662434622645378), 'geochemical', 0.009597256779670715)]",11,[],16,3
172,"['population', 0.02875785157084465), 'syndrome', 0.01869763247668743), 'seed', 0.017260460183024406), 'individual', 0.015823286026716232), 'pollen', 0.014386111870408058), 'pollinator', 0.01151176355779171), 'trait', 0.01151176355779171), 'dioecious', 0.01151176355779171), 'sexual', 0.01151176355779171), 'evolution', 0.008637416176497936)]",5,[],16,3
173,"['paleomagnetic', 0.023620188236236572), 'rodinia', 0.014768150635063648), 'neoproterozoic', 0.013292810879647732), 'margin', 0.008866791613399982), 'laurentian', 0.008866791613399982), 'direction', 0.008866791613399982), 'late', 0.008866791613399982), 'laurentia', 0.008866791613399982), 'breakup', 0.008866791613399982), 'tonian', 0.007391452323645353)]",6,[],16,3
174,"['fraction', 0.01927601546049118), 'metal', 0.01927601546049118), 'sorption', 0.016524264588952065), 'ion', 0.013772512786090374), 'adsorption', 0.012396637350320816), 'pesticide', 0.011020761914551258), 'soil', 0.011020761914551258), 'amidoximes', 0.008269011043012142), 'co2', 0.008269011043012142), 'bulk', 0.008269011043012142)]",5,[],16,3
175,"['fold', 0.05284537002444267), 'rate', 0.023122943937778473), 'terrace', 0.023122943937778473), 'scarp', 0.0192700382322073), 'fault', 0.01761879213154316), 'uplift', 0.017068376764655113), 'active', 0.015417131595313549), 'lateral', 0.014316300861537457), 'deformation', 0.011013809591531754), 'incision', 0.011013809591531754)]",17,[],16,3
176,"['area', 0.059031836688518524), 'protected', 0.0453304648399353), 'specie', 0.028467237949371338), 'density', 0.01792772114276886), 'reproductive', 0.014765865169465542), 'sea', 0.013711913488805294), 'urchin', 0.013711913488805294), 'range', 0.012657960876822472), 'larger', 0.011604009196162224), 'mpas', 0.010550057515501976)]",10,[],16,3
177,"['velocity', 0.02663612924516201), 'wave', 0.024268999695777893), 'seismic', 0.02308543398976326), 'structure', 0.020718304440379143), 'anisotropy', 0.018942955881357193), 'rift', 0.016575828194618225), 'depth', 0.01598404534161091), 'mantle', 0.013025132939219475), 'upper', 0.010066220536828041), 'inversion', 0.009474437683820724)]",19,[],16,3
178,"['marine', 0.021221017464995384), 'gene', 0.017872093245387077), 'berry', 0.01452316902577877), 'primer', 0.011174244806170464), 'microbial', 0.011174244806170464), 'ocean', 0.010057936422526836), 'cell', 0.008941628970205784), 'consortium', 0.008941628970205784), 'aggregate', 0.007825320586562157), 'rrna', 0.007825320586562157)]",8,[],16,3
179,"['shear', 0.02270069532096386), 'fault', 0.020233765244483948), 'stz', 0.01628667488694191), 'material', 0.015793289989233017), 'strain', 0.01529990416020155), 'weakening', 0.014806518331170082), 'theory', 0.014313132502138615), 'gouge', 0.014313132502138615), 'dynamic', 0.013326359912753105), 'mechanism', 0.013326359912753105)]",19,[],16,3
180,"['wave', 0.09766906499862671), 'energy', 0.019167887046933174), 'breaking', 0.01854976825416088), 'spectrum', 0.014222930185496807), 'surface', 0.014222930185496807), 'slope', 0.012368571944534779), 'wind', 0.011750452220439911), 'measurement', 0.008659854531288147), 'microseism', 0.008659854531288147), 'observation', 0.008659854531288147)]",18,[],16,3
181,"['forest', 0.07108303159475327), 'deforestation', 0.04932514205574989), 'land', 0.02611672133207321), 'edge', 0.01958935521543026), 'emission', 0.018864091485738754), 'malaria', 0.018864091485738754), 'carbon', 0.018138829618692398), 'amazon', 0.01596304029226303), 'biomass', 0.010886198841035366), 'year', 0.010160936042666435)]",19,[],16,3
182,"['lca', 0.028656648471951485), 'environmental', 0.027814052999019623), 'cycle', 0.024443674832582474), 'life', 0.02360108122229576), 'database', 0.021073296666145325), 'hybrid', 0.01854551210999489), 'input-output', 0.016860323026776314), 'assessment', 0.016017727553844452), 'global', 0.013489942997694016), 'lci', 0.010962158441543579)]",14,[],16,3
183,"['water', 0.04132334142923355), 'time', 0.024173492565751076), 'tracer', 0.02339395508170128), 'mar', 0.020275799557566643), 'travel', 0.019496262073516846), '35s', 0.017937183380126953), 'recharge', 0.017157645896077156), 'plume', 0.017157645896077156), 'groundwater', 0.014819029718637466), 'operation', 0.013259951956570148)]",12,[],16,3
184,"['eps', 0.01740274578332901), 'dissolution', 0.014920186251401901), 'dissolved', 0.009955066256225109), 'nano-cuo', 0.007472505792975426), 'nano-cu', 0.007472505792975426), 'nanoparticles', 0.00498994579538703), 'extracellular', 0.00498994579538703), 'kocide', 0.00498994579538703), 'speciation', 0.00498994579538703), 'substance', 0.00498994579538703)]",2,[392],11,2
185,"['activity', 0.043434467166662216), 'enzyme', 0.03648773208260536), 'soil', 0.027804311364889145), 'decomposition', 0.0156475231051445), 'hydrolytic', 0.010437470860779285), 'summer', 0.008700787089765072), 'extracellular', 0.008700787089765072), 'organic', 0.008700787089765072), 'arctic', 0.008700787089765072), 'potential', 0.008700787089765072)]",5,"[128, 538]",8,2
186,"['harvesting', 0.02538917399942875), 'turf', 0.01814030297100544), 'balanced', 0.01451586652547121), 'harvest', 0.012703648768365383), 'contraction', 0.012703648768365383), 'mpas', 0.012703648768365383), 'size', 0.010891430079936981), 'fishery', 0.010891430079936981), 'extinction', 0.009079212322831154), 'range', 0.009079212322831154)]",11,"[543, 117]",8,2
187,"['protein-1', 0.002920679049566388), 'change', 2.89176132355351e-05), 'water', 2.89176132355351e-05), 'specie', 2.89176132355351e-05), 'climate', 2.89176132355351e-05), 'using', 2.89176132355351e-05), 'soil', 2.89176132355351e-05), 'rate', 2.89176132355351e-05), 'system', 2.89176132355351e-05), 'surface', 2.89176132355351e-05)]",1,[533],94,2
188,"['natural', 0.032535720616579056), 'water', 0.01914653554558754), 'tio2', 0.015321054495871067), 'bulk', 0.013408313505351543), 'particle', 0.013408313505351543), 'deposition', 0.01149557251483202), 'colloid', 0.01149557251483202), 'pbdes', 0.01149557251483202), 'zeta-potential', 0.01149557251483202), 'cation', 0.009582831524312496)]",3,"[478, 508]",8,2
189,"['program', 0.015413030050694942), 'cpc', 0.008816868998110294), 'replica', 0.006618148181587458), 'molecular', 0.006618148181587458), 'licence', 0.006618148181587458), 'replica-exchange', 0.006618148181587458), 'dynamic', 0.006618148181587458), 'tinker', 0.006618148181587458), 'assigned', 0.004419427830725908), 'running', 0.004419427830725908)]",4,[196],13,2
190,"['tau', 0.009979842230677605), 'flank-collapse', 0.009979842230677605), 'hazard', 0.007491102907806635), 'island', 0.007491102907806635), 'occurred', 0.007491102907806635), 'flank', 0.007491102907806635), 'samoan', 0.007491102907806635), '1849', 0.00500236451625824), 'lgm', 0.00500236451625824), 'archipelago', 0.00500236451625824)]",2,[96],8,2
191,"['fungi', 0.017496341839432716), 'mammal', 0.013127717189490795), 'native', 0.013127717189490795), 'tree', 0.010943405330181122), 'ectomycorrhizal', 0.010943405330181122), 'pine', 0.008759092539548874), 'faecal', 0.006574779748916626), 'fungal', 0.006574779748916626), 'menziesii', 0.006574779748916626), 'pellet', 0.006574779748916626)]",2,[510],8,2
192,"['isotope', 0.024192456156015396), 'mantle', 0.022769788280129433), 'melt', 0.01850178837776184), 'element', 0.017079120501875877), 'fractionation', 0.0142337866127491), 'rock', 0.0142337866127491), 'crust', 0.012811118736863136), 'composition', 0.012811118736863136), 'isotopic', 0.01209978573024273), 'silicate', 0.009965784847736359)]",12,[],16,3
193,"['ecoinvent', 0.023697244003415108), 'database', 0.019750991836190224), 'lci', 0.01777786575257778), 'datasets', 0.01580473966896534), 'specimen', 0.011858487501740456), 'gap', 0.007912236265838146), 'exchange', 0.007912236265838146), 'herbarium', 0.007912236265838146), 'quality', 0.007912236265838146), 'available', 0.007912236265838146)]",3,[],16,3
194,"['fossil', 0.02221287414431572), 'eukaryote', 0.016370456665754318), 'channel', 0.016370456665754318), 'canyon', 0.012865005061030388), 'evidence', 0.011696522124111652), 'predation', 0.011696522124111652), 'ichnofabric', 0.010528038255870342), 'slope', 0.010528038255870342), 'environment', 0.009359554387629032), 'levee', 0.009359554387629032)]",7,[],16,3
195,"['pressure', 0.03290542587637901), 'liquid', 0.023035772144794464), 'viscosity', 0.011850165203213692), 'dynamic', 0.01119218859821558), 'coordination', 0.01119218859821558), 'gpa', 0.01119218859821558), 'molecular', 0.010534211061894894), 'property', 0.010534211061894894), 'thermodynamic', 0.010534211061894894), 'simulation', 0.009876234456896782)]",10,[],16,3
196,"['fenestra', 0.013664992526173592), 'stromatolitic', 0.013664992526173592), 'microbial', 0.011391283012926579), 'chert', 0.011391283012926579), 'mat', 0.00911757443100214), 'stromatolites', 0.00684386445209384), 'preserve', 0.00684386445209384), 'hartbeesfontein', 0.00684386445209384), 'filamentous', 0.00684386445209384), 'lamina', 0.00684386445209384)]",4,[],189,3
197,"['magma', 0.06205449625849724), 'composition', 0.019951099529862404), 'mixing', 0.017735132947564125), 'arc', 0.011825883761048317), 'crust', 0.011825883761048317), 'melt', 0.011825883761048317), 'h2o', 0.011825883761048317), 'crystallization', 0.011825883761048317), 'fo2', 0.010348571464419365), 'earth', 0.010348571464419365)]",12,[],16,3
198,"['nanoparticles', 0.038963496685028076), 'tio2', 0.026719573885202408), 'aggregation', 0.01503219548612833), 'nanomaterials', 0.014475653879344463), 'tio', 0.013919112272560596), 'light', 0.012249486520886421), 'environmental', 0.011692944914102554), 'heteroaggregation', 0.011136402375996113), 'size', 0.011136402375996113), 'surface', 0.011136402375996113)]",22,[],16,3
199,"['ground', 0.02428603172302246), 'motion', 0.023314978927373886), 'earthquake', 0.017488662153482437), 'mantle', 0.017488662153482437), 'seismic', 0.016517609357833862), 'attenuation', 0.016517609357833862), 'array', 0.012633398175239563), 'wave', 0.011662345379590988), 'velocity', 0.011662345379590988), 'grain', 0.010691292583942413)]",9,[],16,3
200,"['damage', 0.03263385221362114), 'substrate', 0.017101319506764412), 'sus', 0.010888305492699146), 'threshold', 0.009335052222013474), 's-1', 0.009335052222013474), 'decision', 0.007781799416989088), 'experimentation', 0.007781799416989088), 'raman', 0.007781799416989088), 'flow', 0.007781799416989088), 'inhibition', 0.006228546146303415)]",5,[],16,3
201,"['crop', 0.04133882001042366), 'pest', 0.029286686331033707), 'natural', 0.02756495214998722), 'biocontrol', 0.01895628497004509), 'service', 0.01895628497004509), 'habitat', 0.015512818470597267), 'control', 0.013791085220873356), 'yield', 0.013791085220873356), 'agricultural', 0.010347618721425533), 'win-win', 0.008625884540379047)]",6,[],16,3
202,"['himalayan', 0.034465592354536057), 'himalaya', 0.01628047227859497), 'thrust', 0.01628047227859497), 'nepal', 0.014366247691214085), 'discontinuity', 0.014366247691214085), 'metamorphic', 0.014366247691214085), 'orogen', 0.012452024035155773), 'main', 0.012452024035155773), 'rock', 0.011494912207126617), 'exhumation', 0.011494912207126617)]",12,[],16,3
203,"['corn', 0.03129100054502487), 'yield', 0.023470424115657806), 'production', 0.022601470351219177), 'ethanol', 0.022601470351219177), 'land', 0.021732518449425697), 'crop', 0.0173877514898777), 'impact', 0.015649845823645592), 'emission', 0.014780892990529537), 'biofuels', 0.013042986392974854), 'biofuel', 0.013042986392974854)]",9,[],16,3
204,"['sewer', 0.035629674792289734), 'groundwater', 0.027887459844350815), 'wastewater', 0.020145244896411896), 'sanitary', 0.018596801906824112), 'pipe', 0.018596801906824112), 'shallow', 0.017048358917236328), 'exfiltration', 0.01549991499632597), 'storm', 0.013951472006738186), 'drain', 0.012403029017150402), 'urban', 0.012403029017150402)]",3,[],16,3
205,"['moment', 0.031122608110308647), 'solution', 0.031122608110308647), 'earthquake', 0.021299585700035095), 'denitrification', 0.019662415608763695), 'regularization', 0.013113734312355518), 'problem', 0.013113734312355518), 'hot', 0.009839394129812717), 'frequency', 0.009839394129812717), 'hotspot', 0.009839394129812717), 'smoothing', 0.008202224038541317)]",5,[],16,3
206,"['rainfall', 0.0529291033744812), 'precipitation', 0.03356952220201492), 'product', 0.023244408890604973), 'tmpa', 0.019372491165995598), 'heavy', 0.019372491165995598), 'radiance', 0.015500574372708797), 'assimilation', 0.014209935441613197), 'africa', 0.014209935441613197), 'season', 0.011628657579421997), 'trmm', 0.010338018648326397)]",6,[],16,3
207,"['specimen', 0.02374565787613392), 'collection', 0.020580625161528587), 'nanotechnology', 0.01662433333694935), 'image', 0.013459301553666592), 'center', 0.01029426883906126), 'goal', 0.01029426883906126), 'public', 0.01029426883906126), 'biodiversity', 0.009503010660409927), 'also', 0.008711752481758595), 'available', 0.007920494303107262)]",13,[],16,3
208,"['urban', 0.031285591423511505), 'growth', 0.02458631992340088), 'urbanization', 0.015653960406780243), 'climate-adaptive', 0.011187780648469925), 'behavior', 0.008954690769314766), 'sustainable', 0.008954690769314766), 'micro-agents', 0.008954690769314766), 'infill', 0.008954690769314766), 'learning', 0.006721600890159607), 'adaptive', 0.006721600890159607)]",3,[],262,3
209,"['water', 0.02159150131046772), 'lead', 0.02159150131046772), 'treatment', 0.017783476039767265), 'urban', 0.016514133661985397), 'stormwater', 0.012706109322607517), 'biofilter', 0.012706109322607517), 'uci', 0.01016742642968893), 'biofilters', 0.01016742642968893), 'campus', 0.01016742642968893), 'technology', 0.008898084983229637)]",5,[],16,3
210,"['technology', 0.03988170623779297), 'energy', 0.02659057267010212), 'gas', 0.024098485708236694), 'policy', 0.014960831962525845), 'renewable', 0.013299440033733845), 'emission', 0.013299440033733845), 'scenario', 0.013299440033733845), 'technological', 0.01163804903626442), 'low-carbon', 0.01163804903626442), 'recycling', 0.01163804903626442)]",9,[],16,3
211,"['rock', 0.021077200770378113), 'earthquake', 0.01405731774866581), 'pbr', 0.012302346527576447), 'pbrs', 0.012302346527576447), 'building', 0.010547376237809658), 'ground', 0.010547376237809658), 'tall', 0.010547376237809658), 'hazard', 0.008792405016720295), 'response', 0.008792405016720295), 'balanced', 0.008792405016720295)]",3,[],16,3
212,"['plume', 0.04311557859182358), 'upwelling', 0.015225466340780258), 'hotspot', 0.015225466340780258), 'ocean', 0.0139577342197299), 'coastal', 0.0139577342197299), 'mixing', 0.012690002098679543), 'oxygen', 0.01142226904630661), 'export', 0.01142226904630661), 'carbon', 0.010154536925256252), 'wind', 0.010154536925256252)]",9,[],16,3
213,"['deb', 0.024875210598111153), 'model', 0.018661586567759514), 'budget', 0.018661586567759514), 'aop', 0.018661586567759514), 'event', 0.0124479616060853), 'suborganismal', 0.0124479616060853), 'assessment', 0.01037675328552723), 'adverse', 0.008305544964969158), 'molecular', 0.008305544964969158), 'linking', 0.008305544964969158)]",3,[],16,3
214,"['rupture', 0.04299231991171837), 'earthquake', 0.042474400252103806), 'slip', 0.03366980701684952), 'fault', 0.02590104565024376), 'stress', 0.01657853275537491), 'motion', 0.01657853275537491), 'inversion', 0.012953112833201885), 'ground', 0.012435195036232471), 'velocity', 0.011399360373616219), 'dynamic', 0.010363525710999966)]",20,[],16,3
215,"['change', 0.031456585973501205), 'policy', 0.025166526436805725), 'adaptation', 0.02390851452946663), 'maize', 0.017618456855416298), 'vulnerability', 0.016360444948077202), 'capacity', 0.014473427087068558), 'mexico', 0.014473427087068558), 'livelihood', 0.01384442113339901), 'coffee', 0.013215415179729462), 'farmer', 0.011957403272390366)]",34,[],16,3
216,"['scattering', 0.029252760112285614), 'surface', 0.029252760112285614), 'numerical', 0.017555000260472298), 'bistatic', 0.015048336237668991), 'wave', 0.013377226889133453), 'angle', 0.01170611847192049), 'stokes', 0.010035009123384953), 'two', 0.009199455380439758), 'case', 0.009199455380439758), 'transmission', 0.00836390070617199)]",11,[],16,3
217,"['forecast', 0.03577496111392975), 'mjo', 0.030960027128458023), 'precipitation', 0.02683294005692005), 'extreme', 0.02270585298538208), 'monsoon', 0.017890920862555504), 'skill', 0.016515225172042847), 'event', 0.015827376395463943), 'system', 0.01513952948153019), 'time', 0.014451681636273861), 'probabilistic', 0.013763833791017532)]",15,[],16,3
218,"['deformation', 0.02900594472885132), 'structural', 0.013191708363592625), 'provide', 0.010556002147495747), 'structure', 0.010556002147495747), 'shear', 0.010556002147495747), 'temperature', 0.009238149970769882), 'analysis', 0.007920296862721443), '2009', 0.007920296862721443), 'zone', 0.007920296862721443), 'thrust', 0.007920296862721443)]",2,[],16,3
219,"['dam', 0.04846751317381859), 'sediment', 0.042215656489133835), 'travertine', 0.02658601850271225), 'slope', 0.018771197646856308), 'downstream', 0.014082306064665318), 'removal', 0.01251934189349413), 'morphology', 0.009393414482474327), 'release', 0.009393414482474327), 'fluvial', 0.009393414482474327), 'reservoir', 0.009393414482474327)]",4,[],16,3
220,"['enms', 0.03774741664528847), 'nanomaterials', 0.02831224724650383), 'release', 0.024268602952361107), 'environmental', 0.02359466254711151), 'enm', 0.021572841331362724), 'environment', 0.018877079710364342), 'fate', 0.018203139305114746), 'toxicity', 0.018203139305114746), 'engineered', 0.01752919703722), 'concentration', 0.01618131622672081)]",18,[],16,3
221,"['thermometry', 0.012499689124524593), 'mineral', 0.01000474113970995), 'garnet', 0.01000474113970995), 'lint', 0.007509792689234018), 'precise', 0.007509792689234018), 'gneiss', 0.005014845170080662), 'madagascar', 0.005014845170080662), 'accurate', 0.005014845170080662), 'o-isotope', 0.005014845170080662), 'ultrahigh-temperature', 0.005014845170080662)]",6,[],260,3
