,Topic,Keyword,Weight
0,0,water,406.6322745147973
1,0,availability,32.0286395535879
2,0,riparian,29.117237749263634
3,0,energy,27.368455050116893
4,0,scarcity,26.337679694160066
5,0,resources,24.417433401739856
6,0,quality,22.375767971938714
7,0,vapor,22.265307188154917
8,0,drought,21.76780431139144
9,0,transpiration,21.21905061604581
10,1,basin,5.34912669704957
11,1,sierra,2.356536178453444
12,1,basins,2.049332780373136
13,1,ma,1.9668490133910865
14,1,plateau,1.79633274549198
15,1,nevada,1.7605175582845167
16,1,uplift,1.6546789871527057
17,1,margin,1.5175925304831477
18,1,arc,1.3972194554131259
19,1,deformation,1.3736391754848776
20,2,snow,2.4838256913159285
21,2,swe,0.5665085812204803
22,2,cover,0.42173732367097616
23,2,equivalent,0.25084469923213776
24,2,albedo,0.21296634568799927
25,2,covered,0.19440714650441987
26,2,modis,0.18229270391948643
27,2,grain,0.17071404478547278
28,2,snowpack,0.16896705680920435
29,2,fractional,0.1673791519379064
30,3,soil,1.7491995679635843
31,3,microbial,1.4744646314730685
32,3,soils,0.7449157770369933
33,3,plant,0.4582488168668351
34,3,dry,0.3789374032669188
35,3,organic,0.3708000210406216
36,3,rewetting,0.32011519747571
37,3,biomass,0.30209708825617376
38,3,drought,0.288253580717487
39,3,tundra,0.28628996350925406
40,4,ocean,3.655305520592665
41,4,color,2.554943692138732
42,4,optical,1.947550957871442
43,4,satellite,1.5273015121594617
44,4,products,1.4369798707423966
45,4,algorithms,1.0730763008503341
46,4,observations,0.9795409593899398
47,4,pnb,0.9140502065831746
48,4,merged,0.8769445980237637
49,4,blooms,0.8462610779581234
50,5,species,4.9326908888328465
51,5,habitat,0.4830199819551362
52,5,abundance,0.3815521851248739
53,5,richness,0.3518133327939461
54,5,tree,0.31299465418756633
55,5,distribution,0.3013171267070116
56,5,plant,0.28530395724953217
57,5,slr,0.28400210025337186
58,5,distributions,0.26208569929763703
59,5,extinction,0.25835868703303067
60,6,fault,2.6952867155534217
61,6,slip,1.2138117742555086
62,6,faults,0.7085472460879808
63,6,zone,0.36605604119232765
64,6,geometry,0.28733656397440543
65,6,fold,0.28281649804092535
66,6,km,0.2816494783921734
67,6,earthquake,0.2774049180238097
68,6,strike,0.2760995498910336
69,6,san,0.2568473147403748
70,7,zircon,1.8211948174733668
71,7,monazite,1.7056220995357505
72,7,ma,1.6687566020654407
73,7,pb,1.376427577768693
74,7,dates,1.2067613877411174
75,7,metamorphism,1.051970707157252
76,7,ages,1.0395450883609232
77,7,garnet,0.8282452362291466
78,7,metamorphic,0.6897361082279729
79,7,crystallization,0.6790223042696896
80,8,spectral,2.0080805105857213
81,8,endmember,1.200369097061955
82,8,mapping,0.8680004162805761
83,8,imaging,0.8207207315405606
84,8,mesma,0.7642843171517227
85,8,infrared,0.7157160305026266
86,8,accuracy,0.6882999559645047
87,8,hyperspectral,0.6401402365446303
88,8,spectra,0.6200702668492211
89,8,airborne,0.598472326811323
90,9,climate,4.247486592509372
91,9,change,2.589360740914316
92,9,future,0.5345768928833335
93,9,impacts,0.47796076808459476
94,9,global,0.3395898974321094
95,9,responses,0.32562627503971453
96,9,chapter,0.30902132499935525
97,9,models,0.2875097206742381
98,9,regional,0.27714628424434756
99,9,projections,0.2768778367705675
100,10,sediment,11.63692022897789
101,10,transport,1.9518441732918432
102,10,hg,1.872449167078569
103,10,suspended,1.5507303397131857
104,10,flux,1.3022551443496921
105,10,supply,1.2377366482640246
106,10,fluvial,1.1081530617782713
107,10,ssc,0.8975688527917373
108,10,mining,0.8185423385019113
109,10,river,0.8166574717202693
110,11,fire,2.396192610718044
111,11,wildfire,0.46343066345589695
112,11,fires,0.39350798366771145
113,11,burned,0.3518032470470331
114,11,severity,0.32671092869538676
115,11,burn,0.29142518027724723
116,11,post,0.252012792898092
117,11,regimes,0.19454352458007057
118,11,chaparral,0.16127301299857216
119,11,california,0.15612666429934136
120,12,methane,6.006246926692295
121,12,ch4,5.0431741751637125
122,12,emissions,3.013652952510715
123,12,gas,2.4188476492997144
124,12,bubble,1.8057481588838638
125,12,aviris,1.416757058498685
126,12,sources,1.352711317277991
127,12,plumes,1.2207610541656921
128,12,plume,1.2171616750460106
129,12,seep,1.0957134863057978
130,13,nanoparticles,5.831431140276114
131,13,nps,5.609479857403705
132,13,zno,3.815876945120009
133,13,tio2,3.719968602331005
134,13,enps,2.379616948903484
135,13,ag,2.1804840150213645
136,13,aggregation,2.088444001864829
137,13,bacterial,1.8892199691802913
138,13,toxicity,1.7223447679025186
139,13,np,1.6916822248392605
140,14,ice,4.19195524815003
141,14,sheet,1.7755357129891742
142,14,antarctic,1.3065844095107086
143,14,glacial,1.080951014625606
144,14,greenland,1.0203580335453963
145,14,ka,0.9344101085149473
146,14,retreat,0.6194937601769851
147,14,holocene,0.5930683807967004
148,14,arctic,0.47434460900141706
149,14,shelf,0.4673196023508281
150,15,mantle,2.1325824700003095
151,15,lavas,1.2010982166832003
152,15,3he,0.7619595585661201
153,15,isotopic,0.7501809157164623
154,15,samoan,0.7157520071881887
155,15,4he,0.6809131289080784
156,15,inclusions,0.6038108667347534
157,15,geochemical,0.5935132183398313
158,15,plume,0.5329117787714206
159,15,melt,0.5249412323687878
160,16,precipitation,6.687583044247413
161,16,annual,1.249845087918068
162,16,rain,0.8326153613961835
163,16,winter,0.8222567169552718
164,16,daily,0.7255433274380688
165,16,himalaya,0.7037915721802597
166,16,temperature,0.5822486126490553
167,16,spatial,0.5660182403061336
168,16,summer,0.5521603334657115
169,16,wwd,0.5463313479666647
