,Topic,Keywords,Docs,Children,Parent,Level
16,"(16,)","([('model', 0.02414272166788578), ('using', 0.014606619253754616), ('snow', 0.01273450069129467), ('surface', 0.012032455764710903), ('spatial', 0.009243779815733433), ('observation', 0.008814753033220768), ('method', 0.008814753033220768), ('satellite', 0.00842472817748785), ('resolution', 0.00830772053450346), ('product', 0.008132209070026875)],)","(3685,)","([92, 234, 155, 450, 156, 451, 90, 89, 232, 159, 94, 88, 31, 24],)","(8,)","(2,)"
17,"(17,)","([('problem', 0.016486724838614464), ('area', 0.013491861522197723), ('relation', 0.013491861522197723), ('biomass', 0.011994429863989353), ('problema', 0.010496998205780983), ('biomasse', 0.008999566547572613), ('surface', 0.008999566547572613), ('allometric', 0.007502134423702955), ('trie', 0.007502134423702955), ('tale', 0.007502134423702955)],)","(11,)","([25],)","(9,)","(2,)"
18,"(18,)","([('award', 0.00762392021715641), ('9437', 0.00762392021715641), ('8865', 0.00762392021715641), ('2913', 0.00762392021715641), ('remote', 0.005091056693345308), ('ieee', 0.005091056693345308), ('paper', 0.005091056693345308), ('sensing', 0.005091056693345308), ('issue', 0.005091056693345308), ('international', 0.005091056693345308)],)","(15,)","([93, 91],)","(8,)","(2,)"
19,"(19,)","([('imagens', 0.013231159187853336), ('classifica', 0.011343689635396004), ('rea', 0.009456221014261246), ('foi', 0.009456221014261246), ('foram', 0.007568751461803913), ('com', 0.007568751461803913), ('todos', 0.007568751461803913), ('soja', 0.007568751461803913), ('todo', 0.007568751461803913), ('regi', 0.0056812819093465805)],)","(4,)","([27],)","(10,)","(2,)"
20,"(20,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(1,)","([26],)","(12,)","(2,)"
21,"(21,)","([('sheet', 0.022403258830308914), ('moine', 0.015688996762037277), ('beag', 0.013450908474624157), ('sgurr', 0.013450908474624157), ('scandian', 0.011212820187211037), ('metamorphism', 0.008974732831120491), ('metamorphic', 0.0067366440780460835), ('peak', 0.0067366440780460835), ('petrological', 0.0044985562562942505), ('thermobarometry', 0.0044985562562942505)],)","(9,)","([158, 30],)","(11,)","(2,)"
22,"(22,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(1,)","([28],)","(15,)","(2,)"
23,"(23,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(2,)","([157],)","(8,)","(2,)"
24,"(24,)","([('water', 0.024416806176304817), ('carbon', 0.02170656807720661), ('ocean', 0.014796680770814419), ('model', 0.013258436694741249), ('flux', 0.013185187242925167), ('surface', 0.012110858224332333), ('soil', 0.010572615079581738), ('concentration', 0.009547119960188866), ('lake', 0.009327370673418045), ('measurement', 0.009229704737663269)],)","(3616,)","([241, 378, 124, 472, 127, 479, 382, 376, 324, 182, 246, 242, 243, 320, 240, 38, 121, 84, 33, 32],)","(16,)","(3,)"
25,"(25,)","([('los', 0.03932643309235573), ('del', 0.030695904046297073), ('que', 0.018229590728878975), ('con', 0.017270643264055252), ('change', 0.015352748334407806), ('cambio', 0.010558011010289192), ('una', 0.010558011010289192), ('climate', 0.010558011010289192), ('entre', 0.00959906354546547), ('por', 0.00959906354546547)],)","(11,)","([474, 122, 34],)","(17,)","(3,)"
26,"(26,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(1,)","([123],)","(20,)","(3,)"
27,"(27,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(4,)","([36],)","(19,)","(3,)"
28,"(28,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(1,)","([126],)","(22,)","(3,)"
29,"(29,)","([('scarp', 0.01976700872182846), ('fold', 0.015379215590655804), ('fault', 0.015379215590655804), ('bmnf', 0.013185318559408188), ('accommodation', 0.00879752542823553), ('kunlun', 0.00879752542823553), ('bed', 0.00879752542823553), ('bendingmoment', 0.00879752542823553), ('kinematics', 0.006603628862649202), ('piedmont', 0.006603628862649202)],)","(1,)","([82],)","(147,)","(3,)"
30,"(30,)","([('character', 0.012625690549612045), ('traditionally', 0.010105593129992485), ('chile', 0.007585494313389063), ('truncado', 0.005065396428108215), ('equivocal', 0.005065396428108215), ('well-formed', 0.005065396428108215), ('outgroup', 0.005065396428108215), ('homalodotheriid', 0.0025452987756580114), ('wedge-shaped', 0.0025452987756580114), ('styloid', 0.0025452987756580114)],)","(8,)","([39],)","(21,)","(3,)"
31,"(31,)","([('wave', 0.02451971173286438), ('yield', 0.010228455998003483), ('term', 0.010228455998003483), ('st6', 0.00818684883415699), ('iodine', 0.00818684883415699), ('oxidative', 0.00818684883415699), ('wavewatch', 0.006145239807665348), ('reaction', 0.006145239807665348), ('hindcast', 0.006145239807665348), ('iii', 0.006145239807665348)],)","(8,)","([80],)","(16,)","(3,)"
