,Topic,Keywords,Children,Parent,Level
70,"(70,)","([('environmental', 0.01874260976910591), ('impact', 0.014220091514289379), ('solar', 0.014220091514289379), ('cost', 0.013574017211794853), ('learning', 0.012281868606805801), ('energy', 0.01163579523563385), ('emission', 0.010989720933139324), ('land', 0.010989720933139324), ('country', 0.010343646630644798), ('electricity', 0.010343646630644798)],)","([],)","(0,)","(1,)"
71,"(71,)","([('nanotechnology', 0.02750416286289692), ('science', 0.016814038157463074), ('development', 0.013759717345237732), ('published', 0.010705395601689816), ('program', 0.009178235195577145), ('engineering', 0.009178235195577145), ('corrected', 0.007651074789464474), ('article', 0.007651074789464474), ('online', 0.007651074789464474), ('biological', 0.007651074789464474)],)","([],)","(0,)","(1,)"
72,"(72,)","([('climate', 0.04496465250849724), ('change', 0.03822164237499237), ('policy', 0.024735618382692337), ('extinction', 0.023611782118678093), ('international', 0.011249592527747154), ('risk', 0.011249592527747154), ('investment', 0.010125757195055485), ('lobbying', 0.009001921862363815), ('political', 0.007878086529672146), ('preference', 0.007878086529672146)],)","([],)","(0,)","(1,)"
73,"(73,)","([('wwtps', 0.029188258573412895), ('treatment', 0.029188258573412895), ('wastewater', 0.029188258573412895), ('water', 0.02502049133181572), ('energy', 0.022241981700062752), ('carbon', 0.016684958711266518), ('emission', 0.012517192400991917), ('china', 0.012517192400991917), ('electricity', 0.011127936653792858), ('footprint', 0.011127936653792858)],)","([],)","(0,)","(1,)"
74,"(74,)","([('area', 0.02603619545698166), ('mapping', 0.02510666288435459), ('map', 0.023247597739100456), ('geologic', 0.020459001883864403), ('two', 0.016740873456001282), ('student', 0.013952277600765228), ('rochford', 0.0111636808142066), ('structural', 0.0111636808142066), ('exploration', 0.0111636808142066), ('goal', 0.010234149172902107)],)","([],)","(0,)","(1,)"
75,"(75,)","([('emission', 0.04531041160225868), ('soil', 0.03551621735095978), ('n2o', 0.0318433903157711), ('oxide', 0.018376367166638374), ('rootderived', 0.015927817672491074), ('nitrous', 0.014703541994094849), ('moisture', 0.013479267247021198), ('no2', 0.013479267247021198), ('kcl', 0.012254992499947548), ('root-derived', 0.012254992499947548)],)","([],)","(0,)","(1,)"
76,"(76,)","([('zircon', 0.027156179770827293), ('ophiolite', 0.025346068665385246), ('date', 0.023083431646227837), ('crust', 0.022178376093506813), ('ridge', 0.01539046224206686), ('formation', 0.012222769670188427), ('rock', 0.012222769670188427), ('sole', 0.010412659496068954), ('metamorphic', 0.009055077098309994), ('hole', 0.008602549321949482)],)","([],)","(0,)","(1,)"
77,"(77,)","([('public', 0.012367460876703262), ('reintroduction', 0.010603200644254684), ('benefit', 0.010603200644254684), ('preparedness', 0.008838941343128681), ('economic', 0.008838941343128681), ('spending', 0.008838941343128681), ('transnational', 0.008838941343128681), ('disaster', 0.008838941343128681), ('damage', 0.008838941343128681), ('call', 0.008838941343128681)],)","([],)","(0,)","(1,)"
78,"(78,)","([('deforestation', 0.0459655225276947), ('forest', 0.040859051048755646), ('amazon', 0.024080650880932808), ('land', 0.020433174446225166), ('edge', 0.019703678786754608), ('malaria', 0.01897418312728405), ('area', 0.016785696148872375), ('carbon', 0.015326703898608685), ('fire', 0.01313821692019701), ('emission', 0.012408721260726452)],)","([],)","(0,)","(1,)"
79,"(79,)","([('specie', 0.03293559327721596), ('genetic', 0.021582407876849174), ('population', 0.018176451325416565), ('dispersal', 0.01477049570530653), ('breeding', 0.013635177165269852), ('break', 0.010229221545159817), ('marine', 0.009093902073800564), ('africa', 0.007958583533763885), ('climate', 0.007958583533763885), ('phylogeographical', 0.007958583533763885)],)","([],)","(0,)","(1,)"
80,"(80,)","([('fishery', 0.03329668194055557), ('mpas', 0.024973604828119278), ('management', 0.01971692591905594), ('marine', 0.01840275712311268), ('area', 0.01840275712311268), ('reserve', 0.017964700236916542), ('protected', 0.017964700236916542), ('specie', 0.01708858646452427), ('fishing', 0.01708858646452427), ('spatial', 0.01577441766858101)],)","([],)","(0,)","(1,)"
81,"(81,)","([('basin', 0.05213557928800583), ('plateau', 0.023792771622538567), ('range', 0.011139734648168087), ('fluvial', 0.011139734648168087), ('climatic', 0.011139734648168087), ('margin', 0.010633612982928753), ('intermontane', 0.010633612982928753), ('foreland', 0.010127492249011993), ('andes', 0.00962137058377266), ('erosion', 0.00962137058377266)],)","([],)","(0,)","(1,)"
82,"(82,)","([('frog', 0.02714051492512226), ('population', 0.020063458010554314), ('lake', 0.017704438418149948), ('yellow-legged', 0.014165909960865974), ('sierrae', 0.012986400164663792), ('sample', 0.012986400164663792), ('genetic', 0.011806891299784184), ('mountain', 0.010627381503582), ('effort', 0.010627381503582), ('zoo', 0.009447871707379818)],)","([],)","(0,)","(1,)"
83,"(83,)","([('ice', 0.04135898873209953), ('antarctic', 0.03420139104127884), ('sea-level', 0.01909090392291546), ('beach', 0.018693260848522186), ('sheet', 0.018693260848522186), ('glacial', 0.01710268296301365), ('sea', 0.016307393088936806), ('antarctica', 0.014319172129034996), ('peninsula', 0.013921528123319149), ('holocene', 0.01113801822066307)],)","([],)","(0,)","(1,)"
84,"(84,)","([('nanoparticle', 0.02051815390586853), ('nanoparticles', 0.019053617492318153), ('medium', 0.017589081078767776), ('microscopy', 0.017589081078767776), ('assay', 0.014660008251667023), ('electron', 0.014660008251667023), ('bacterial', 0.013195471838116646), ('cell', 0.013195471838116646), ('bacteria', 0.013195471838116646), ('environmental', 0.013195471838116646)],)","([],)","(0,)","(1,)"
85,"(85,)","([('eon-rose', 0.011301029473543167), ('est', 0.009420658461749554), ('seau', 0.00754028744995594), ('vision', 0.00754028744995594), ('station', 0.00754028744995594), ('array', 0.00754028744995594), ('canadian', 0.0056599159725010395), ('syst', 0.0056599159725010395), ('earth', 0.0056599159725010395), ('network', 0.0056599159725010395)],)","([],)","(0,)","(1,)"
86,"(86,)","([('water', 0.05805918574333191), ('leaf', 0.0547102615237236), ('isotope', 0.03350040689110756), ('transpiration', 0.022337326779961586), ('dew', 0.01898840256035328), ('uptake', 0.016755785793066025), ('plant', 0.015639478340744972), ('suppression', 0.01229055318981409), ('balance', 0.01229055318981409), ('evaporation', 0.011174244806170464)],)","([],)","(0,)","(1,)"
87,"(87,)","([('fault', 0.050849270075559616), ('fold', 0.0327867716550827), ('scarp', 0.022752054035663605), ('slip', 0.015393259935081005), ('san', 0.0133863165974617), ('active', 0.012717334553599358), ('geometry', 0.012717334553599358), ('hinge', 0.012717334553599358), ('bed', 0.011379372328519821), ('thrust', 0.011379372328519821)],)","([],)","(0,)","(1,)"
88,"(88,)","([('atlantic', 0.028788315132260323), ('temperature', 0.026047876104712486), ('water', 0.02330743707716465), ('sensitivity', 0.01645633764564991), ('pore', 0.012345679104328156), ('middepth', 0.012345679104328156), ('core', 0.012345679104328156), ('ocean', 0.010975459590554237), ('tropical', 0.010975459590554237), ('circulation', 0.010975459590554237)],)","([],)","(0,)","(1,)"
89,"(89,)","([('mass', 0.013572413474321365), ('microfiber', 0.013572413474321365), ('garment', 0.011314108036458492), ('polyester', 0.011314108036458492), ('washing', 0.009055803529918194), ('machine', 0.009055803529918194), ('wash', 0.006797497626394033), ('jacket', 0.006797497626394033), ('conventional', 0.006797497626394033), ('aged', 0.006797497626394033)],)","([],)","(0,)","(1,)"
90,"(90,)","([('hyperpycnal', 0.024635113775730133), ('shelf', 0.023687973618507385), ('deposit', 0.020846553146839142), ('channel', 0.01705799251794815), ('fan', 0.016110852360725403), ('flow', 0.016110852360725403), ('sand', 0.012322292663156986), ('sediment', 0.011375152505934238), ('continental', 0.011375152505934238), ('current', 0.01042801234871149)],)","([],)","(0,)","(1,)"
91,"(91,)","([('fire', 0.032573163509368896), ('specie', 0.015641890466213226), ('host', 0.014339485205709934), ('fuel', 0.013037079945206642), ('grass', 0.013037079945206642), ('experiment', 0.013037079945206642), ('flea', 0.01173467468470335), ('across', 0.01173467468470335), ('intensity', 0.01173467468470335), ('butterfly', 0.01173467468470335)],)","([],)","(0,)","(1,)"
92,"(92,)","([('scec', 0.02803281508386135), ('borehole', 0.02803281508386135), ('earthquake', 0.020127136260271072), ('program', 0.018330391496419907), ('pbic', 0.017971042543649673), ('station', 0.01761169359087944), ('california', 0.016174297779798508), ('southern', 0.011502760462462902), ('equipment', 0.011143412441015244), ('site', 0.010424714535474777)],)","([],)","(0,)","(1,)"
93,"(93,)","([('land', 0.03145049512386322), ('private', 0.01864207535982132), ('public', 0.017477672547101974), ('habitat', 0.01631327159702778), ('bitat', 0.012820065021514893), ('terreno', 0.011655663140118122), ('los', 0.010491261258721352), ('para', 0.010491261258721352), ('grazing', 0.010491261258721352), ('privado', 0.010491261258721352)],)","([],)","(0,)","(1,)"
94,"(94,)","([('risk', 0.029204802587628365), ('environmental', 0.028180163353681564), ('nanomaterials', 0.023825442418456078), ('enms', 0.023056961596012115), ('nanotechnology', 0.016652962192893028), ('assessment', 0.016140641644597054), ('environment', 0.013579041697084904), ('health', 0.012810561805963516), ('enm', 0.012554401531815529), ('exposure', 0.012298241257667542)],)","([],)","(0,)","(1,)"
95,"(95,)","([('information', 0.02560051716864109), ('citizen', 0.012249530293047428), ('participation', 0.012249530293047428), ('local', 0.011136948131024837), ('development', 0.008911783806979656), ('community-driven', 0.008911783806979656), ('treatment', 0.008911783806979656), ('message', 0.007799201644957066), ('among', 0.007799201644957066), ('experiment', 0.007799201644957066)],)","([],)","(0,)","(1,)"
96,"(96,)","([('cell', 0.024023303762078285), ('symbiont', 0.02242281660437584), ('host', 0.016020871698856354), ('energy', 0.016020871698856354), ('coral', 0.012819897383451462), ('division', 0.012819897383451462), ('cycle', 0.01121941115707159), ('impact', 0.009618924930691719), ('radiation', 0.009618924930691719), ('spawning', 0.009618924930691719)],)","([],)","(0,)","(1,)"
97,"(97,)","([('kelp', 0.04188777506351471), ('giant', 0.02252638339996338), ('specie', 0.02015560120344162), ('biomass', 0.01778481900691986), ('urchin', 0.013833514414727688), ('abundance', 0.011857863515615463), ('disturbance', 0.011857863515615463), ('forest', 0.011067602783441544), ('npp', 0.009882211685180664), ('macrocystis', 0.009882211685180664)],)","([],)","(0,)","(1,)"
98,"(98,)","([('snow', 0.02380215749144554), ('canopy', 0.0214227344840765), ('snowpack', 0.02062959410250187), ('energy', 0.02062959410250187), ('cold', 0.018250171095132828), ('content', 0.018250171095132828), ('snowmelt', 0.017457030713558197), ('flux', 0.015870749950408936), ('regolith', 0.012698185630142689), ('temperature', 0.011905045248568058)],)","([],)","(0,)","(1,)"
99,"(99,)","([('landslide', 0.027266889810562134), ('slide', 0.01948191039264202), ('megaslide', 0.009750686585903168), ('rincon', 0.009750686585903168), ('mountain', 0.009750686585903168), ('deposit', 0.009750686585903168), ('conchita', 0.00780444173142314), ('flank-collapse', 0.00780444173142314), ('tau', 0.00780444173142314), ('samoan', 0.005858196411281824)],)","([],)","(0,)","(1,)"
100,"(100,)","([('fault', 0.057083602994680405), ('earthquake', 0.030447546392679214), ('motion', 0.01649532839655876), ('structure', 0.01649532839655876), ('zone', 0.015861136838793755), ('ground', 0.013958561234176159), ('velocity', 0.012055986560881138), ('seismic', 0.01078760251402855), ('seismicity', 0.009519219398498535), ('wasatch', 0.008885026909410954)],)","([],)","(0,)","(1,)"
101,"(101,)","([('wildfire', 0.03164965286850929), ('public', 0.02556551992893219), ('good', 0.021915040910243988), ('human', 0.020698215812444687), ('fire', 0.019481388852000237), ('ignition', 0.014614083804190159), ('adaptation', 0.014614083804190159), ('management', 0.012180431745946407), ('science', 0.010963604785501957), ('community', 0.009746778756380081)],)","([],)","(0,)","(1,)"
102,"(102,)","([('rex', 0.019096670672297478), ('silicon', 0.01485767588019371), ('diatom', 0.01485767588019371), ('water', 0.010618682019412518), ('dsi', 0.008499184623360634), ('core', 0.006379686761647463), ('ldms', 0.006379686761647463), ('eps', 0.006379686761647463), ('fresh', 0.004260189365595579), ('isotopically', 0.004260189365595579)],)","([],)","(0,)","(1,)"
103,"(103,)","([('oil', 0.026266399770975113), ('particle', 0.01622631773352623), ('site', 0.015454004518687725), ('gulf', 0.014681690372526646), ('mexico', 0.013909376226365566), ('water', 0.013909376226365566), ('bacterial', 0.013909376226365566), ('marine', 0.011592433787882328), ('spill', 0.010820119641721249), ('sediment', 0.010820119641721249)],)","([],)","(0,)","(1,)"
104,"(104,)","([('soil', 0.059227354824543), ('microbial', 0.02532087452709675), ('plant', 0.021467864513397217), ('litter', 0.014532448723912239), ('decomposition', 0.013541675172746181), ('ecosystem', 0.013211417943239212), ('effect', 0.01277107372879982), ('community', 0.010349182412028313), ('carbon', 0.010129010304808617), ('organic', 0.010018924251198769)],)","([],)","(0,)","(1,)"
105,"(105,)","([('canyon', 0.0290923360735178), ('coral', 0.027638446539640427), ('habitat', 0.01891510747373104), ('predator', 0.017461217939853668), ('ecosystem', 0.016007328405976295), ('reef', 0.016007328405976295), ('sponge', 0.013099548406898975), ('fish', 0.010191768407821655), ('benthic', 0.008737878873944283), ('top', 0.008737878873944283)],)","([],)","(0,)","(1,)"
106,"(106,)","([('ice', 0.06154841184616089), ('sheet', 0.029993215575814247), ('darkening', 0.0221044160425663), ('sea', 0.02052665688097477), ('algal', 0.01579337753355503), ('evans', 0.012637857347726822), ('greenland', 0.012637857347726822), ('cape', 0.012637857347726822), ('algae', 0.011060097254812717), ('bare', 0.009482337161898613)],)","([],)","(0,)","(1,)"
107,"(107,)","([('float', 0.02513551525771618), ('sensor', 0.02304263226687908), ('test', 0.01676398701965809), ('deployment', 0.014671104028820992), ('performance', 0.012578221969306469), ('develop', 0.010485339909791946), ('enzyme', 0.008392457850277424), ('prototype', 0.006299575325101614), ('ensure', 0.006299575325101614), ('plan', 0.0042066932655870914)],)","([],)","(0,)","(1,)"
108,"(108,)","([('wetland', 0.029948441311717033), ('forest', 0.029180631041526794), ('floodplain', 0.022270336747169495), ('amazon', 0.021502526476979256), ('vegetation', 0.016127854585647583), ('area', 0.014592234045267105), ('cover', 0.012672708369791508), ('carbon', 0.011520993895828724), ('specie', 0.010369278490543365), ('level', 0.009601468220353127)],)","([],)","(0,)","(1,)"
109,"(109,)","([('specie', 0.03026191145181656), ('plant', 0.02017766609787941), ('host', 0.017427416518330574), ('fungal', 0.01651066541671753), ('fungi', 0.012843666598200798), ('trait', 0.010093416087329388), ('endophytes', 0.010093416087329388), ('area', 0.009176666848361492), ('diversity', 0.009176666848361492), ('native', 0.009176666848361492)],)","([],)","(0,)","(1,)"
110,"(110,)","([('oil', 0.024410078302025795), ('product', 0.017633266746997833), ('wave', 0.01627790369093418), ('sector', 0.013567178510129452), ('environmental', 0.010856454260647297), ('shaking', 0.010856454260647297), ('policy', 0.010856454260647297), ('attenuation', 0.010856454260647297), ('modeling', 0.010856454260647297), ('high-frequency', 0.008145729079842567)],)","([],)","(0,)","(1,)"
111,"(111,)","([('problem', 0.01847904548048973), ('problema', 0.011765495873987675), ('para', 0.010087109170854092), ('region', 0.008408721536397934), ('del', 0.008408721536397934), ('cada', 0.006730333901941776), ('mip', 0.006730333901941776), ('una', 0.006730333901941776), ('este', 0.005051946267485619), ('reas', 0.005051946267485619)],)","([],)","(0,)","(1,)"
112,"(112,)","([('samoan', 0.033991992473602295), ('geochemical', 0.022894831374287605), ('basin', 0.022894831374287605), ('lau', 0.022201258689165115), ('mantle', 0.020814115181565285), ('spot', 0.019426969811320305), ('lava', 0.019426969811320305), ('hot', 0.015959106385707855), ('signature', 0.013184815645217896), ('plume', 0.012491242960095406)],)","([],)","(0,)","(1,)"
113,"(113,)","([('effect', 0.024996118620038033), ('model', 0.023481430485844612), ('energy', 0.02120940014719963), ('deb', 0.02045205794274807), ('population', 0.020073385909199715), ('dynamic', 0.019316041842103004), ('growth', 0.015907997265458107), ('theory', 0.015907997265458107), ('reproduction', 0.01287862379103899), ('budget', 0.012499951757490635)],)","([],)","(0,)","(1,)"
114,"(114,)","([('trading', 0.024566620588302612), ('quality', 0.022519970312714577), ('ohio', 0.022519970312714577), ('water', 0.02047332189977169), ('model', 0.018426671624183655), ('credit', 0.018426671624183655), ('river', 0.017062237486243248), ('program', 0.013651154935359955), ('wqt', 0.012286721728742123), ('watershed', 0.012286721728742123)],)","([],)","(0,)","(1,)"
115,"(115,)","([('ss-lass', 0.016007328405976295), ('titanite', 0.014553437940776348), ('age', 0.014553437940776348), ('bond', 0.013099548406898975), ('length', 0.011645657941699028), ('rock', 0.010191768407821655), ('egp', 0.010191768407821655), ('diffusion', 0.010191768407821655), ('zircon', 0.008737878873944283), ('hidden', 0.008737878873944283)],)","([],)","(0,)","(1,)"
116,"(116,)","([('size', 0.01263109315186739), ('sers', 0.01263109315186739), ('raman', 0.01263109315186739), ('property', 0.01052941381931305), ('nanocubes', 0.01052941381931305), ('surface-enhanced', 0.006326054688543081), ('hot', 0.006326054688543081), ('assay', 0.006326054688543081), ('spot', 0.006326054688543081), ('signal', 0.006326054688543081)],)","([],)","(0,)","(1,)"
117,"(117,)","([('method', 0.021787945181131363), ('solution', 0.01226167380809784), ('adsorption', 0.010900777764618397), ('spe', 0.009539881721138954), ('calibration', 0.009539881721138954), ('co2', 0.008178985677659512), ('original', 0.008178985677659512), ('powder', 0.008178985677659512), ('compound', 0.008178985677659512), ('particle', 0.008178985677659512)],)","([],)","(0,)","(1,)"
118,"(118,)","([('earthquake', 0.04839110001921654), ('fault', 0.027470875531435013), ('basin', 0.0170107614248991), ('strike-slip', 0.014395732432603836), ('rupture', 0.013088217936456203), ('tsunami', 0.013088217936456203), ('unit', 0.011780704371631145), ('central', 0.011780704371631145), ('january', 0.011780704371631145), ('nucleation', 0.00916567537933588)],)","([],)","(0,)","(1,)"
119,"(119,)","([('oil', 0.029197806492447853), ('organic', 0.023820679634809494), ('carbon', 0.02151619642972946), ('spill', 0.016139067709445953), ('oxidation', 0.014602744951844215), ('hydrocarbon', 0.014602744951844215), ('ocean', 0.014602744951844215), ('oxygen', 0.013834583573043346), ('sulfur', 0.013066422194242477), ('isotope', 0.010761938989162445)],)","([],)","(0,)","(1,)"
120,"(120,)","([('cambrian', 0.016711950302124023), ('13c', 0.016711950302124023), ('fossil', 0.013676173985004425), ('age', 0.013676173985004425), ('early', 0.012158285826444626), ('animal', 0.012158285826444626), ('archaeocyaths', 0.012158285826444626), ('nemakit-daldynian', 0.010640397667884827), ('carbon', 0.010640397667884827), ('tommotian', 0.009122509509325027)],)","([],)","(0,)","(1,)"
121,"(121,)","([('travertine', 0.03356287255883217), ('dam', 0.023697244003415108), ('lagoon', 0.021724117919802666), ('slope', 0.019750991836190224), ('watershed', 0.011858487501740456), ('morphology', 0.011858487501740456), ('fluvial', 0.011858487501740456), ('profile', 0.009885361418128014), ('precipitation', 0.007912236265838146), ('geomorphology', 0.007912236265838146)],)","([],)","(0,)","(1,)"
122,"(122,)","([('earthquake', 0.027580199763178825), ('slab', 0.019860832020640373), ('plate', 0.019860832020640373), ('dehydration', 0.016552530229091644), ('subduction', 0.0154497642070055), ('cascadia', 0.014346997253596783), ('crust', 0.014346997253596783), ('depth', 0.013244230300188065), ('seismicity', 0.013244230300188065), ('subducting', 0.011038696393370628)],)","([],)","(0,)","(1,)"
123,"(123,)","([('magma', 0.0401943139731884), ('crystallization', 0.019655119627714157), ('melt', 0.019655119627714157), ('fluid', 0.01519007608294487), ('phase', 0.012511050328612328), ('solid', 0.012511050328612328), ('mass', 0.01161804236471653), ('thermodynamic', 0.009832024574279785), ('element', 0.009832024574279785), ('crystal', 0.008939016610383987)],)","([],)","(0,)","(1,)"
124,"(124,)","([('state', 0.02507113292813301), ('society', 0.02149209938943386), ('environmental', 0.01612354815006256), ('international', 0.014334031380712986), ('china', 0.014334031380712986), ('organization', 0.012544514611363411), ('civil', 0.012544514611363411), ('governance', 0.012544514611363411), ('group', 0.012544514611363411), ('mechanism', 0.010754997842013836)],)","([],)","(0,)","(1,)"
125,"(125,)","([('community', 0.02545483037829399), ('sequencing', 0.01664693094789982), ('taxon', 0.01371096447110176), ('interval', 0.011753653176128864), ('ecological', 0.010774997994303703), ('bacterial', 0.010774997994303703), ('specificity', 0.010774997994303703), ('ffe', 0.009796341881155968), ('primer', 0.009796341881155968), ('pyrosequencing', 0.008817686699330807)],)","([],)","(0,)","(1,)"
126,"(126,)","([('lake', 0.035899583250284195), ('wave', 0.01795726828277111), ('mixing', 0.014966881833970547), ('introduction', 0.010481302626430988), ('wind', 0.010481302626430988), ('internal', 0.010481302626430988), ('bottom', 0.010481302626430988), ('slope', 0.010481302626430988), ('dynamic', 0.010481302626430988), ('variation', 0.008986109867691994)],)","([],)","(0,)","(1,)"
127,"(127,)","([('sample', 0.021869095042347908), ('chemical', 0.01286946702748537), ('analysis', 0.01158380601555109), ('xenotime', 0.01029814500361681), ('mapping', 0.01029814500361681), ('monazite', 0.01029814500361681), ('deposit', 0.01029814500361681), ('grain', 0.007726822979748249), ('collected', 0.007726822979748249), ('detailed', 0.007726822979748249)],)","([],)","(0,)","(1,)"
128,"(128,)","([('paleomagnetic', 0.025458890944719315), ('craton', 0.01107533648610115), ('new', 0.01107533648610115), ('margin', 0.009968909434974194), ('laurentia', 0.009968909434974194), ('yukon', 0.008862482383847237), ('rodinia', 0.008862482383847237), ('glaciation', 0.00775605533272028), ('mountain', 0.00775605533272028), ('pole', 0.00775605533272028)],)","([],)","(0,)","(1,)"
129,"(129,)","([('snow', 0.026574749499559402), ('soil', 0.024326801300048828), ('surface', 0.02111544832587242), ('moisture', 0.018787216395139694), ('model', 0.01782381162047386), ('microwave', 0.016057567670941353), ('algorithm', 0.014211039058864117), ('vegetation', 0.014130755327641964), ('using', 0.011561673134565353), ('retrieval', 0.011079969815909863)],)","([],)","(0,)","(1,)"
130,"(130,)","([('test', 0.03355254605412483), ('avalanche', 0.02396952547132969), ('snow', 0.02396952547132969), ('propagation', 0.022771649062633514), ('length', 0.019178016111254692), ('collapse', 0.017980139702558517), ('layer', 0.017980139702558517), ('crack', 0.016782261431217194), ('ect', 0.01438650768250227), ('energy', 0.01318863034248352)],)","([],)","(0,)","(1,)"
131,"(131,)","([('canopy', 0.027219992130994797), ('snow', 0.027219992130994797), ('forest', 0.02395489811897278), ('cover', 0.0217781700193882), ('temperature', 0.015247983857989311), ('vegetation', 0.014159619808197021), ('tree', 0.011982890777289867), ('fsca', 0.011982890777289867), ('variation', 0.010894526727497578), ('post-fire', 0.009806162677705288)],)","([],)","(0,)","(1,)"
132,"(132,)","([('ocean', 0.03150012344121933), ('carbon', 0.02133961208164692), ('export', 0.01829146035015583), ('organic', 0.01702139526605606), ('cdom', 0.016005344688892365), ('dissolved', 0.014989292249083519), ('doc', 0.013719229027628899), ('dom', 0.013719229027628899), ('particle', 0.012957190163433552), ('production', 0.011687126941978931)],)","([],)","(0,)","(1,)"
133,"(133,)","([('anaerobic', 0.03093644231557846), ('fungi', 0.01702200062572956), ('methanogen', 0.01238385308533907), ('genome', 0.01238385308533907), ('metabolism', 0.0092917550355196), ('fungal', 0.0092917550355196), ('consortium', 0.007745706010609865), ('conservation', 0.0061996569857001305), ('lignocellulose', 0.0061996569857001305), ('towards', 0.0061996569857001305)],)","([],)","(0,)","(1,)"
134,"(134,)","([('solar', 0.03768354654312134), ('dust', 0.01705223321914673), ('flux', 0.015258205123245716), ('ocean', 0.012567163445055485), ('aot', 0.012567163445055485), ('profile', 0.011670149862766266), ('spectrum', 0.011670149862766266), ('water', 0.009876121766865253), ('chlorophyll', 0.009876121766865253), ('transmission', 0.009876121766865253)],)","([],)","(0,)","(1,)"
135,"(135,)","([('age', 0.02700410597026348), ('th-pb', 0.02314913086593151), ('reference', 0.015439178794622421), ('monazite', 0.015439178794622421), ('material', 0.015439178794622421), ('allanite', 0.015439178794622421), ('mineral', 0.007729227188974619), ('assumption', 0.007729227188974619), ('obtaining', 0.007729227188974619), ('standard-based', 0.007729227188974619)],)","([],)","(0,)","(1,)"
136,"(136,)","([('co2', 0.06195850297808647), ('global', 0.02514791488647461), ('car', 0.022454457357525826), ('xco2', 0.01796536147594452), ('gosat', 0.01796536147594452), ('product', 0.01796536147594452), ('measurement', 0.017067542299628258), ('sciamachy', 0.015271903946995735), ('method', 0.014374084770679474), ('scheme', 0.01168062724173069)],)","([],)","(0,)","(1,)"
137,"(137,)","([('watershed', 0.022946583107113838), ('concentration', 0.01877826638519764), ('nitrate', 0.01877826638519764), ('land', 0.012525792233645916), ('chla', 0.012525792233645916), ('mode', 0.008357475511729717), ('runoff', 0.008357475511729717), ('hyperspectral', 0.006273316685110331), ('equation', 0.006273316685110331), ('stormflow', 0.006273316685110331)],)","([],)","(0,)","(1,)"
138,"(138,)","([('groundwater', 0.05640210211277008), ('water', 0.0236382856965065), ('discharge', 0.021489838138222694), ('stream', 0.020952727645635605), ('recharge', 0.020415615290403366), ('river', 0.017192944884300232), ('streamflow', 0.016655834391713142), ('method', 0.016118722036480904), ('snowmelt', 0.013433163985610008), ('weathering', 0.012896052561700344)],)","([],)","(0,)","(1,)"
139,"(139,)","([('ucsb', 0.01739746704697609), ('ocean', 0.014722991734743118), ('bbp', 0.013385753147304058), ('pnb', 0.012048515491187572), ('color', 0.012048515491187572), ('coefficient', 0.010711276903748512), ('chlorophyll', 0.010711276903748512), ('2006', 0.009374039247632027), ('siegel', 0.009374039247632027), ('optical', 0.009374039247632027)],)","([],)","(0,)","(1,)"
140,"(140,)","([('specie', 0.050609830766916275), ('diversity', 0.021587872877717018), ('environmental', 0.016378803178668022), ('analysis', 0.015634650364518166), ('bird', 0.015634650364518166), ('sample', 0.014890497550368309), ('variable', 0.014146344736218452), ('richness', 0.014146344736218452), ('butterfly', 0.01265803910791874), ('distribution', 0.011913886293768883)],)","([],)","(0,)","(1,)"
141,"(141,)","([('tracer', 0.031085407361388206), ('water', 0.031085407361388206), ('sf6', 0.02664542756974697), ('time', 0.018320465460419655), ('experiment', 0.0177654679864645), ('gas', 0.01665547303855419), ('travel', 0.016100475564599037), ('groundwater', 0.015545479021966457), ('mar', 0.014435484074056149), ('recharge', 0.01332548912614584)],)","([],)","(0,)","(1,)"
142,"(142,)","([('eddy', 0.028148982673883438), ('productivity', 0.020334161818027496), ('ground', 0.018771197646856308), ('sbc', 0.01720823347568512), ('motion', 0.01720823347568512), ('rotational', 0.014082306064665318), ('particle', 0.009393414482474327), ('fish', 0.009393414482474327), ('array', 0.009393414482474327), ('earthquake', 0.009393414482474327)],)","([],)","(0,)","(1,)"
143,"(143,)","([('sif', 0.02713576890528202), ('gpp', 0.026005582883954048), ('variability', 0.02261502481997013), ('annual', 0.01809428073465824), ('ecosystem', 0.01696409471333027), ('vegetation', 0.01470372173935175), ('physiology', 0.012443349696695805), ('phenology', 0.012443349696695805), ('seasonal', 0.011313163675367832), ('mean', 0.011313163675367832)],)","([],)","(0,)","(1,)"
144,"(144,)","([('erosion', 0.024781495332717896), ('valley', 0.021242966875433922), ('landscape', 0.014165909960865974), ('incision', 0.014165909960865974), ('hanging', 0.014165909960865974), ('rate', 0.012986400164663792), ('fluvial', 0.011806891299784184), ('uplift', 0.010627381503582), ('lowland', 0.010627381503582), ('emergence', 0.009447871707379818)],)","([],)","(0,)","(1,)"
145,"(145,)","([('torreyana', 0.014701206237077713), ('carri', 0.012255082838237286), ('parry', 0.012255082838237286), ('pinus', 0.009808958508074284), ('cone', 0.007362833712249994), ('name', 0.004916709382086992), ('specimen', 0.004916709382086992), ('history', 0.004916709382086992), ('typification', 0.004916709382086992), ('torr', 0.002470585284754634)],)","([],)","(0,)","(1,)"
