,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
75,13.0,"climate, change, precipitation, variability, climate_change, event, rainfall, trend, region, response",,
76,17.0,"california, area, coastal, habitat, site, provide, include, large, support, restoration",,
77,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
78,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
79,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
80,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
81,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
82,15.0,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",,
83,4.0,"model, scale, spatial, base, approach, predict, estimate, develop, method, distribution",,
84,13.0,"climate, change, precipitation, variability, climate_change, event, rainfall, trend, region, response",,
85,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
86,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
87,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
88,1.0,"high, increase, low, result, temperature, show, compare, difference, decrease, suggest",,
89,17.0,"california, area, coastal, habitat, site, provide, include, large, support, restoration",,
90,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
91,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
92,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
93,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
94,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",,
95,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",,
96,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",,
97,15.0,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",,
98,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
99,1.0,"high, increase, low, result, temperature, show, compare, difference, decrease, suggest",,
