id,Name,PI_primary_dept,PI_scholar_url,PI_scholar_keywords
4,Frank Davis,Bren,https://scholar.google.com/citations?user=FgUUzKkAAAAJ&view_op=list_works&sortby=pubdate,
131,Ranjit Deshmukh,Environmental Studies,https://scholar.google.com/citations?user=FjU4kL0AAAAJ&view_op=list_works&sortby=pubdate,"renewable energy, solar, wind, biomass, policy"
26,Duane DeVecchio,ERI,none,none
27,Timothy DeVries,Geography,https://scholar.google.com/citations?user=1Z6XrOUAAAAJ&view_op=list_works&sortby=pubdate,Ocean circulation and biogeochemistry
107,Tommy Dickey,Geography,none,none
108,Qinghua Ding,Geography,https://scholar.google.com/citations?user=P2YMInoAAAAJ&view_op=list_works&sortby=pubdate,Climate Dynamics & Polar Climate Change
28,Jeffrey Dozier,Bren,https://scholar.google.com/citations?user=xf0GIdEAAAAJ&view_op=list_works&sortby=pubdate,
147,Jenifer Dugan,Marine Science Institute,https://scholar.google.com/citations?user=ndVTt1IAAAAJ&view_op=list_works&sortby=pubdate,Marine and coastal ecology
29,Thomas Dunne,Bren,https://scholar.google.com/citations?user=C1BC1sIAAAAJ&view_op=list_works&sortby=pubdate,
30,Mason Dykstra,Crustal Studies,https://scholar.google.com/citations?user=XlF_DqIAAAAJ&view_op=list_works&sortby=pubdate,"sedimentology, stratigraphy, petroleum geoscience, marine geology, field geology"
31,Hallie Eakin,Geography,https://scholar.google.com/citations?user=L4xGtIoAAAAJ&view_op=list_works&sortby=pubdate,"vulnerability, adaptation, global change, agriculture, development"
33,Zachary Eilon,Earth Science,https://scholar.google.com/citations?user=zFDhf6MAAAAJ&view_op=list_works&sortby=pubdate,"Geophysics, Seismology, Tectonics, Inverse Theory, Earth Science"
59,Erika Eliason,EEMB,https://scholar.google.com/citations?user=wPlGMRoAAAAJ&view_op=list_works&sortby=pubdate,"Comparative Physiology, Environmental and Evolutionary Physiology, Conservation Biology, Climate Change, Fish Physiology"
148,Christopher Evelyn,ERI,none,none
32,Erica Fleishman,ERI,none,none
33,Joan Florsheim,ERI,https://scholar.google.com/citations?user=0k1FGKQAAAAJ&view_op=list_works&sortby=pubdate,"Fluvial Geomorphology, Hydrology, Earth Surface Processes"
34,Michael Freeston,ICESS,none,none
35,William Freudenburg,Environmental Studies,none,none
36,James Frew,Bren,https://scholar.google.com/citations?user=nxF4XdQAAAAJ&view_op=list_works&sortby=pubdate,environmental informatics
85,Halley Froelich,EEMB,https://scholar.google.com/citations?user=072ktIQAAAAJ&view_op=list_works&sortby=pubdate,"Aquaculture, Marine Ecology, Fisheries, Climate Change, Ecophysiology"
37,Steven Gaines,Bren,https://scholar.google.com/citations?user=L_VT3-cAAAAJ&view_op=list_works&sortby=pubdate,"Conservation Biology, Marine Ecology"
38,Phil Gans,Earth Science,https://scholar.google.com/citations?user=m7tnZn8AAAAJ&view_op=list_works&sortby=pubdate,"Structural Geology, Tectonics, Volcanology, Geochronology, Ore Deposits"
109,Vamsi Ganti,Geography,https://scholar.google.com/citations?user=qrDqBXEAAAAJ&view_op=list_works&sortby=pubdate,"Sedimentology, Geomorphology"
151,Helene Gardner,Environmental Studies,none,none
110,Catherine Gautier,Geography,none,none
40,Roland Geyer,Bren,https://scholar.google.com/citations?user=YhCLK5kAAAAJ&view_op=list_works&sortby=pubdate,
41,Michael Goodchild,Geography,none,none
