id,Name,PI_primary_dept,PI_scholar_url,PI_scholar_keywords
112,Michael Singer,ERI,https://scholar.google.com/citations?user=LT_zsYAAAAAJ&view_op=list_works&sortby=pubdate,"geomorphology, hydrology, ecohydrology, sediment transport, flood risk"
113,Seeta Sistla,ERI,https://scholar.google.com/citations?user=I0KmcCIAAAAJ&view_op=list_works&sortby=pubdate,"Ecosystem ecology, biogeochemistry, soil ecology"
115,Terence Smith,Computer Science,none,none
116,Christopher Sorlien,ERI,https://scholar.google.com/citations?user=fOMtKyAAAAAJ&view_op=list_works&sortby=pubdate,"""seismic reflection"", ""faulting and folding"", past climates"
117,Frank Spera,Earth Science,https://scholar.google.com/citations?user=E3cCohYAAAAJ&view_op=list_works&sortby=pubdate,"Geomaterials, Magma Transport Phenomena, Molecular Dynamics, Volcanology"
195,Christopher Sorlien,ERI,https://scholar.google.com/citations?user=fOMtKyAAAAAJ&view_op=list_works&sortby=pubdate,"""seismic reflection"", ""faulting and folding"", past climates"
42,Stacia Gordon,ERI,https://scholar.google.com/citations?user=nN7Tq2AAAAAJ&view_op=list_works&sortby=pubdate,
118,Jamison Steidl,ERI,https://scholar.google.com/citations?user=Rop09V8AAAAJ&view_op=list_works&sortby=pubdate,"Seismology, Earthquake Engineering, Site Response, Strong Ground Motion, Earthquake Physics"
134,Samantha Stevenson,Bren,https://scholar.google.com/citations?user=vNZ4mYoAAAAJ&view_op=list_works&sortby=pubdate,
78,Adrian Stier,EEMB,https://scholar.google.com/citations?user=bxbOvMgAAAAJ&view_op=list_works&sortby=pubdate,
119,Christopher Still,Geography,https://scholar.google.com/citations?user=A44mG4sAAAAJ&view_op=list_works&sortby=pubdate,"plant ecophysiology, biogeography, climate change, earth system science, biogeochemistry"
197,Andrea Stith,Office of Research,none,none
120,David Stoms,ERI,none,none
94,Susan Stonich,Environmental Studies,none,none
121,Lisa Stratton,CCBER,none,none
26,Galen Stucky,Chemistry,https://scholar.google.com/citations?user=9t14TKcAAAAJ&view_op=list_works&sortby=pubdate,
79,Raul Suarez,EEMB,none,none
123,Sangwon Suh,Bren,https://scholar.google.com/citations?user=y_uuPP0AAAAJ&view_op=list_works&sortby=pubdate,"Industrial Ecology, Life Cycle Assessment, Sustainability"
124,Stuart Sweeney,Geography,https://scholar.google.com/citations?user=QebCBSUAAAAJ&view_op=list_works&sortby=pubdate,
125,Samuel Sweet,EEMB,https://scholar.google.com/citations?user=t07iyOAAAAAJ&view_op=list_works&sortby=pubdate,"herpetology, macroevolution"
126,Christina Tague,Bren,https://scholar.google.com/citations?user=YqRA7csAAAAJ&view_op=list_works&sortby=pubdate,"Hydrology, Ecosystems, Modeling, Informatics, Biogeochemical Cycling"
127,Toshiro Tanimoto,Earth Science,https://scholar.google.com/citations?user=tHnXe84AAAAJ&view_op=list_works&sortby=pubdate,"Geophysics, Seismology"
128,Jennifer Thorsch,CCBER,none,none
50,Bruce Tiffney,Earth Science,none,none
25,David Tilman,Bren,https://scholar.google.com/citations?user=xlfT8vcAAAAJ&view_op=list_works&sortby=pubdate,"ecology, sustainability, biodiversity, diet-health, agriculture"
81,Thomas Turner,EEMB,https://scholar.google.com/citations?user=-JrND60AAAAJ&view_op=list_works&sortby=pubdate,"Evolution, Genetics, Porifera"
129,Claudia Tyler,ERI,https://scholar.google.com/citations?user=-H7Y-VUAAAAJ&view_op=list_works&sortby=pubdate,"community ecology, plant ecology, shrublands, oak woodlands"
130,David Valentine,Earth Science,https://scholar.google.com/citations?user=UvoDtbcAAAAJ&view_op=list_works&sortby=pubdate,"Microbiology, Geochemistry, Oceanography"
201,Greg Wahlert,CCBER,https://scholar.google.com/citations?user=r5i187AAAAAJ&view_op=list_works&sortby=pubdate,"Plant Systematics, Natural History Collections, floras of California and Madagascar"
131,Zhengming Wan,ERI,none,none
132,Robert Warner,EEMB,https://scholar.google.com/citations?user=EnWAN9gAAAAJ&view_op=list_works&sortby=pubdate,"evolution, behavior, ecology, conservation"
133,Libe Washburn,Geography,https://scholar.google.com/citations?user=8PNXV2wAAAAJ&view_op=list_works&sortby=pubdate,none
134,Syee Weldeab,Earth Science,https://scholar.google.com/citations?user=uLjMZtQAAAAJ&view_op=list_works&sortby=pubdate,"Paleoclimate, Paleoceanography"
82,Lizzie Wilbanks,EEMB,https://scholar.google.com/citations?user=9Jcd7mcAAAAJ&view_op=list_works&sortby=pubdate,Marine Microbial Ecology and Evolution
135,Bob Wilkinson,Environmental Studies,none,none
136,Douglas Wilson,Marine Science Institute,https://scholar.google.com/citations?user=M772yLUAAAAJ&view_op=list_works&sortby=pubdate,Geophysics
202,Marion Wittmann,NRS,https://scholar.google.com/citations?user=DcjUuRUAAAAJ&view_op=list_works&sortby=pubdate,"Aquatic ecology, invasive species, environmental policy"
53,Andy Wyss,Earth Science,none,none
83,Hillary Young,EEMB,https://scholar.google.com/citations?user=X-2BjW4AAAAJ&view_op=list_works&sortby=pubdate,"conservation biology, ecology, community, food-web, disease ecology"
